outcome,outcome_label,spec,entry,term,term_label,estimate,std_error,ci_lo,ci_hi,pct_change,pct_lo,pct_hi,p,n,fe,cluster,window
n_caller,caller complaints,total,bivariate,tract_poverty10,Tract poverty rate (+10 pp),0.08193321202845638,0.009217066257685187,0.06386809412027403,0.09999832993663874,8.538331685866641,6.595178417992642,10.516907237173069,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,bivariate,tract_poverty10,Tract poverty rate (+10 pp),0.05285947765041672,0.008763832500730213,0.035682681582443906,0.07003627371838954,5.428148459832949,3.6326948683590654,7.2547085819556045,1.623963186148103e-09,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,bivariate,tract_log_income_z,Tract log median income (+1 SD),-0.07848932476942296,0.00820819938920722,-0.09457709995019278,-0.06240154958865313,-7.548807074310959,-9.024241034287217,-6.049444703129336,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,bivariate,tract_log_income_z,Tract log median income (+1 SD),-0.05900058778258168,0.008497676089590614,-0.07565572687046646,-0.04234544869469691,-5.7293784949356,-7.286466059340324,-4.146140253491892,3.834710327055291e-12,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,bivariate,tract_renter10,Tract renter share (+10 pp),0.04874014780243191,0.0057638860760656375,0.037443138682351364,0.06003715692251246,4.994748412798744,3.8152964658018984,6.187600185665487,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,bivariate,tract_renter10,Tract renter share (+10 pp),0.020440949726136186,0.005619297989690349,0.00942732804794477,0.0314545714043276,2.0651296725095136,0.9471905276273063,3.195449428730468,0.0002751539899734645,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,bivariate,tract_foreign10,Tract foreign-born share (+10 pp),0.045876310570739605,0.008814030033945524,0.028601129145552025,0.06315149199592718,4.694490692995745,2.9014068886331845,6.518819449460356,1.940814586820494e-07,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,bivariate,tract_foreign10,Tract foreign-born share (+10 pp),0.04195891270329552,0.008587031497765435,0.025128640233564228,0.05878918517302681,4.285162991616076,2.544702578498992,6.0551637161627925,1.0274248258834717e-06,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,bivariate,tract_overcrowd10,Tract overcrowded-household share (+10 pp),0.07924184396112045,0.014114719312182252,0.051577502457351265,0.10690618546488964,8.246607830111197,5.29307878534111,11.282984996704016,1.9755569180546217e-08,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,bivariate,tract_overcrowd10,Tract overcrowded-household share (+10 pp),0.05171678590369726,0.01326113701455709,0.025725434961114343,0.07770813684628017,5.307745389614604,2.6059189813323336,8.080716484411688,9.624208856751082e-05,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,bivariate,tract_black10,Tract Black share (+10 pp),-0.004430692292641801,0.0040734808428089485,-0.012414568036261207,0.003553183450977604,-0.4420891256014525,-1.2337825191197194,0.35595034904987166,0.27673112578663295,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,bivariate,tract_black10,Tract Black share (+10 pp),-0.009301108381866758,0.003858158323422901,-0.016862959742429084,-0.0017392570213044323,-0.9257986869481094,-1.6721575869162009,-0.17377453903100193,0.01591915473240868,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,bivariate,tract_hispanic10,Tract Hispanic share (+10 pp),0.03541107728686041,0.004888204834693358,0.02583037186180686,0.04499178271191396,3.604551605358486,2.6166866934182353,4.601926443176185,4.3498538104813633e-13,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,bivariate,tract_hispanic10,Tract Hispanic share (+10 pp),0.01757198119638692,0.00477629211211234,0.008210620677003986,0.026933341715769856,1.7727276741229092,0.8244420264824637,2.7299322470898613,0.00023414978453151214,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,bivariate,tract_asian10,Tract Asian share (+10 pp),0.023643121462483253,0.005854156042372876,0.012169186459554874,0.035117056465411634,2.3924835880202,1.2243532279069491,3.57409418776653,5.375054560952108e-05,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,direct,bivariate,tract_asian10,Tract Asian share (+10 pp),0.0323142858982113,0.005463099945478532,0.021606806761130644,0.04302176503529196,3.2842061995816074,2.1841924135468815,4.396061644300375,3.318572305843759e-09,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,joint,tract_poverty10,Tract poverty rate (+10 pp),0.023061412215020147,0.01928303441301951,-0.014732640747144556,0.06085546517718485,2.332938254161099,-1.4624646393269547,6.274529938257456,0.23171875905204686,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,joint,tract_log_income_z,Tract log median income (+1 SD),-0.02846465136932609,0.016635550124832567,-0.06106973047700873,0.004140427738356545,-2.8063349831400908,-5.924236199003296,0.4149011151530324,0.08706751886675113,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,joint,tract_renter10,Tract renter share (+10 pp),0.02980768483156048,0.007346809821813992,0.015408202179539922,0.04420716748358104,3.025638097077321,1.5527520566330777,4.519886367930903,4.965853165694867e-05,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,joint,tract_foreign10,Tract foreign-born share (+10 pp),0.01961469501539968,0.014527585256501569,-0.008858848869678485,0.048088238900477843,1.980832708493252,-0.881972488442706,4.926323707410574,0.1769617848533529,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,joint,tract_overcrowd10,Tract overcrowded-household share (+10 pp),0.001507861422916626,0.018936298578498278,-0.03560660179143703,0.03862232463727028,0.15089988175580604,-3.4980144098820554,3.937786210199934,0.9365330478695288,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,joint,tract_black10,Tract Black share (+10 pp),-0.004230375075271837,0.0056809181096515535,-0.01536476996931025,0.006904019818766576,-0.4221439643150249,-1.524733411879764,0.692790750564054,0.4564748810287569,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_caller,caller complaints,total,joint,tract_hispanic10,Tract Hispanic share (+10 pp),0.008823850054093594,0.00680997383656324,-0.004523453401230417,0.022171153509417604,0.8862894976667368,-0.4513237994670183,2.2418760055046283,0.19507041190340568,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
