group,n,ecb_per100_yr,dobviol_per100_yr
All residential,766429,5.632125089212439,4.899125685484239
LLC,91260,20.816129739206662,17.00249835634451
Individual,587397,2.581722412610211,1.9724990083367806
Owner-occupied (STAR),237261,3.4975828307222843,2.1914094604675864
Pre-1940,428125,6.199497810218978,6.082522627737227
Built 2000+,60724,12.902707331532836,7.329161451814768
Prior violation 2010-19,147874,19.6043658790592,21.469737749705832
No prior violation,618555,2.291870569310732,0.9376951119948913
