term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,pct_change
llc,0.7503775059807218,0.020977049209564676,35.77135651846497,0.0,0.7092632450280506,0.7914917669333931,ppml_ecb,ECB citations 2020-26,766376,111.77993476467645
corp_other,0.3687451241025379,0.026874908650360498,13.720795441572285,0.0,0.31607127106002736,0.42141897714504845,ppml_ecb,ECB citations 2020-26,766376,44.59190267964415
trust_estate,-0.30248099198291467,0.05337064333694063,-5.66755379119726,1.4485058930091554e-08,-0.40708553075505094,-0.1978764532107784,ppml_ecb,ECB citations 2020-26,766376,-26.101746528190816
nycha,0.039614395335510075,0.0750647630856034,0.5277362334486296,0.597682420978531,-0.10750983682030436,0.18673862749132453,ppml_ecb,ECB citations 2020-26,766376,4.040951007263849
govt,0.6981956321733073,0.10997332505517117,6.348772593927101,2.1703949748541618e-10,0.48265187580505536,0.9137393885415592,ppml_ecb,ECB citations 2020-26,766376,101.01224330343355
owner_occ_star,-0.01971077836828124,0.023868633513318336,-0.8258025478200469,0.4089161085804145,-0.06649244041457093,0.02707088367800845,ppml_ecb,ECB citations 2020-26,766376,-1.951779103319573
is_coop,-0.16840396169747024,0.045720992723901656,-3.683296264243916,0.00023023730990101576,-0.2580154607737354,-0.07879246262120511,ppml_ecb,ECB citations 2020-26,766376,-15.498758692009506
is_condo,-0.4004295059137572,0.03618597844512922,-11.065874770277398,0.0,-0.4713527204115532,-0.3295062914159612,ppml_ecb,ECB citations 2020-26,766376,-32.99677985683381
era_pre1940,-0.3488470722371368,0.026740264929706565,-13.045759761698998,0.0,-0.40125702843642114,-0.29643711603785244,ppml_ecb,ECB citations 2020-26,766376,-29.449898728779434
era_4079,-0.381082551230424,0.031082977067452305,-12.260168979420708,0.0,-0.44200406681491494,-0.32016103564593307,ppml_ecb,ECB citations 2020-26,766376,-31.687850522772287
era_8099,-0.7108344164965413,0.04401370122103967,-16.15029858376792,0.0,-0.7970996857160857,-0.624569147276997,ppml_ecb,ECB citations 2020-26,766376,-50.876586746156484
era_unknown,0.5705141561380366,0.09970165008020387,5.722213781608358,1.0514488391066834e-08,0.375102512781622,0.7659257994944512,ppml_ecb,ECB citations 2020-26,766376,76.91764505584548
mixed_use,0.31995534030822337,0.018483784625332678,17.310055640321263,0.0,0.2837277881445761,0.3561828924718706,ppml_ecb,ECB citations 2020-26,766376,37.70662636077768
mzone,0.00043463494438226324,0.06170365358793877,0.007043909381521963,0.9943798199325875,-0.12050230380251344,0.12137157369127798,ppml_ecb,ECB citations 2020-26,766376,0.04347294118354217
multi_bldg,0.13218558668262137,0.018328230521266194,7.212130299716975,5.508926648190027e-13,0.09626291496059183,0.1681082584046509,ppml_ecb,ECB citations 2020-26,766376,14.132011342719952
log2_area_per_unit,0.410138814001069,0.0165742034081749,24.745612437625574,0.0,0.3776539722486052,0.4426236557535328,ppml_ecb,ECB citations 2020-26,766376,50.702696703684104
value_rank,-0.17859264468514102,0.0407351116967015,-4.384243401978997,1.1638958173021408e-05,-0.2584319965168923,-0.09875329285338977,ppml_ecb,ECB citations 2020-26,766376,-16.35534390406219
any_prior_viol,0.8135829992129284,0.020615631736270266,39.46437390912184,0.0,0.7731771034912978,0.8539888949345591,ppml_ecb,ECB citations 2020-26,766376,125.59766856624441
