bin,props,units,cpu,vpu,cpu_per100,vpu_per100
1 unit,321981,321981,0.3386379941673577,0.06464977747134147,33.863799416735766,6.464977747134147
2,272406,544812,0.2649280852844651,0.04815055468675433,26.49280852844651,4.815055468675434
3–4,98336,316720,0.21994506188431423,0.04672265723667593,21.994506188431423,4.672265723667593
5–10,36580,253519,0.26224858886316216,0.06233457847340831,26.224858886316216,6.233457847340831
11–20,12627,199279,0.19461659281710567,0.05042678857280496,19.461659281710567,5.042678857280496
21–50,13436,441677,0.16723080441136848,0.04366086529296296,16.723080441136847,4.366086529296296
51–100,7040,489089,0.13841243618237173,0.0343475318398083,13.841243618237172,3.43475318398083
100+,4533,1167951,0.06721600478102249,0.012382368780882076,6.721600478102249,1.2382368780882076
2-4 combined,370742,861532,0.2483912379342845,0.047625625049330725,24.83912379342845,4.762562504933072
