term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,sample,n
llc,0.3887511717482305,0.020888533487411275,18.61074507612112,0.0,0.3478103984230455,0.42969194507341546,owner_ppml_ncomp,complaint count (log),universe,766382
corp_other,0.20396704307089877,0.025920479981589157,7.868953168142443,3.552713678800501e-15,0.15316383584499257,0.254770250296805,owner_ppml_ncomp,complaint count (log),universe,766382
trust_estate,-0.5030155390869836,0.02305597089980139,-21.817148419948634,0.0,-0.5482044116791979,-0.45782666649476933,owner_ppml_ncomp,complaint count (log),universe,766382
nycha,0.13201312873639637,0.06889067310574437,1.9162699794464426,0.0553307399936247,-0.00301010942158475,0.2670363668943775,owner_ppml_ncomp,complaint count (log),universe,766382
govt,0.3062821173070131,0.06662430604661372,4.59715283327263,4.283034520380369e-06,0.17570087696067602,0.43686335765335016,owner_ppml_ncomp,complaint count (log),universe,766382
owner_occ_star,0.0174241467578163,0.017351450534703324,1.0041896337696714,0.31528721773272306,-0.016584071369730485,0.05143236488536308,owner_ppml_ncomp,complaint count (log),universe,766382
is_coop,-0.21717936318380537,0.04486753018498,-4.84045728143309,1.2954070116588667e-06,-0.30511810642162995,-0.1292406199459808,owner_ppml_ncomp,complaint count (log),universe,766382
is_condo,-0.2187602207997698,0.036418463775854545,-6.0068492220368706,1.891632850359315e-09,-0.2901390981727213,-0.1473813434268183,owner_ppml_ncomp,complaint count (log),universe,766382
era_pre1940,-0.07355300524911261,0.02214231882179516,-3.321829382056987,0.000894293601433116,-0.1169511526740345,-0.030154857824190723,owner_ppml_ncomp,complaint count (log),universe,766382
era_4079,-0.1545144566276433,0.025613964742720992,-6.03243028479429,1.6151202597569636e-09,-0.2047169050246552,-0.10431200823063139,owner_ppml_ncomp,complaint count (log),universe,766382
era_8099,-0.38705738809901813,0.04034602219661498,-9.593446070415638,0.0,-0.4661341385238371,-0.30798063767419914,owner_ppml_ncomp,complaint count (log),universe,766382
era_unknown,0.532023942461035,0.09094827133649973,5.8497422176678695,4.923354390840018e-09,0.35376860618531897,0.7102792787367511,owner_ppml_ncomp,complaint count (log),universe,766382
mzone,-0.1070816994428402,0.05114169078022177,-2.0938239977832787,0.036275661590802866,-0.20731757148055902,-0.006845827405121366,owner_ppml_ncomp,complaint count (log),universe,766382
multi_bldg,0.12286264182379551,0.01407170331276622,8.731184782181364,0.0,0.09528261012964075,0.15044267351795026,owner_ppml_ncomp,complaint count (log),universe,766382
com_class,-0.14021545762148263,0.03850493516508035,-3.6414931493935434,0.0002710613396694761,-0.21568374377209,-0.06474717147087529,owner_ppml_ncomp,complaint count (log),universe,766382
log_bldgarea,0.6779664038157676,0.03699730741962147,18.32474985615329,0.0,0.6054530137483529,0.7504797938831822,owner_ppml_ncomp,complaint count (log),universe,766382
log2_area_per_unit,-0.11423903148765342,0.028616453748059496,-3.9920750660937525,6.54976310072719e-05,-0.1703262501991063,-0.05815181277620055,owner_ppml_ncomp,complaint count (log),universe,766382
value_rank,-0.2087436266499014,0.035021962347623115,-5.9603635164112525,2.516774344485384e-09,-0.2773854115191606,-0.14010184178064222,owner_ppml_ncomp,complaint count (log),universe,766382
any_prior_viol,0.5191311912632061,0.012586578228439262,41.24482300441543,0.0,0.49446195124686915,0.543800431279543,owner_ppml_ncomp,complaint count (log),universe,766382
geo_nyc_other,0.08187737152538753,0.013077184003685096,6.2610858348643585,3.8230596466348743e-10,0.05624656185896143,0.10750818119181363,owner_ppml_ncomp,complaint count (log),universe,766382
geo_outside_nyc,0.07556210030710077,0.01769926079494428,4.269223510661234,1.9615463365818542e-05,0.04087218659602821,0.11025201401817333,owner_ppml_ncomp,complaint count (log),universe,766382
geo_unknown,-0.3332278130646329,0.014988650667319279,-22.23200876855386,0.0,-0.36260502854943094,-0.30385059757983485,owner_ppml_ncomp,complaint count (log),universe,766382
multi_prop_owner,0.0509627226529017,0.018089896265263132,2.8171926419922126,0.004844545844784998,0.015507177488920318,0.08641826781688308,owner_ppml_ncomp,complaint count (log),universe,766382
llc,8.943832157810089,0.24297015568368516,36.81041456570399,0.0,8.467356787902856,9.420307527717322,owner_lpm_any,any complaint (pp),universe,766400
corp_other,6.000216477118383,0.3247045901908805,18.47900109324325,0.0,5.36345621622777,6.636976738008996,owner_lpm_any,any complaint (pp),universe,766400
trust_estate,-6.011874332902429,0.17646741157834567,-34.06790114464481,0.0,-6.357934839682645,-5.665813826122212,owner_lpm_any,any complaint (pp),universe,766400
nycha,13.891268085180005,1.8989705483077755,7.3151572032325065,3.5860203695392556e-13,10.167301691439725,17.615234478920286,owner_lpm_any,any complaint (pp),universe,766400
govt,9.636438026383175,1.4777322631859475,6.521098758179169,8.63400462236541e-11,6.738538797796332,12.534337254970017,owner_lpm_any,any complaint (pp),universe,766400
owner_occ_star,-0.37695671526241853,0.17229482478560207,-2.1878586064990104,0.028784972904936534,-0.7148345922461965,-0.039078838278640615,owner_lpm_any,any complaint (pp),universe,766400
is_coop,0.1832620211589559,0.6425654057786844,0.28520368434225346,0.7755149931317047,-1.0768375517555782,1.44336159407349,owner_lpm_any,any complaint (pp),universe,766400
is_condo,-1.9711079201617356,0.6298191342264927,-3.129641214509203,0.0017731959790174834,-3.2062114830285373,-0.736004357294934,owner_lpm_any,any complaint (pp),universe,766400
era_pre1940,1.9532957974290535,0.30691452287469895,6.364299020892234,2.380784458466678e-10,1.3514226562396254,2.5551689386184817,owner_lpm_any,any complaint (pp),universe,766400
era_4079,-0.5067853064914695,0.3108410672836127,-1.6303679269929812,0.10316716549340521,-1.1163585773302773,0.10278796434733828,owner_lpm_any,any complaint (pp),universe,766400
era_8099,-3.17310112207118,0.3277766145212458,-9.680681847012933,0.0,-3.815885760421057,-2.5303164837213026,owner_lpm_any,any complaint (pp),universe,766400
era_unknown,13.66496554663969,2.476306044471438,5.518286230067514,3.8265988600016954e-08,8.808818357603373,18.521112735676006,owner_lpm_any,any complaint (pp),universe,766400
mzone,0.11506115005876275,0.9194030388966076,0.1251476721208685,0.9004180980019445,-1.6879294346055012,1.9180517347230268,owner_lpm_any,any complaint (pp),universe,766400
multi_bldg,0.7745811554985292,0.14619508515735938,5.298270832188351,1.2858283615635457e-07,0.48788603821977145,1.061276272777287,owner_lpm_any,any complaint (pp),universe,766400
com_class,-1.7308964673213778,0.6435599188003905,-2.689565364088873,0.007208646938358543,-2.9929463248647448,-0.46884660977801085,owner_lpm_any,any complaint (pp),universe,766400
log_bldgarea,8.86632395476742,0.7427880191161141,11.936546802838803,0.0,7.409683343186432,10.322964566348407,owner_lpm_any,any complaint (pp),universe,766400
log2_area_per_unit,-2.2426647360361067,0.5401224504732131,-4.15214130438618,3.419630512868643e-05,-3.3018690801262798,-1.1834603919459334,owner_lpm_any,any complaint (pp),universe,766400
value_rank,-0.5756931556091439,0.41873616196352126,-1.3748350582133295,0.16932284441493373,-1.3968535450556931,0.24546723383740532,owner_lpm_any,any complaint (pp),universe,766400
any_prior_viol,10.420050116530453,0.16837784499832878,61.88492385464297,0.0,10.089853612544147,10.750246620516759,owner_lpm_any,any complaint (pp),universe,766400
geo_nyc_other,1.8428601259610606,0.13303405074503022,13.852544635305746,0.0,1.5819743872964411,2.1037458646256804,owner_lpm_any,any complaint (pp),universe,766400
geo_outside_nyc,1.6070776861868383,0.22524283161787634,7.134867177097293,1.3102852136626097e-12,1.1653663936534462,2.0487889787202307,owner_lpm_any,any complaint (pp),universe,766400
geo_unknown,-5.482230696277351,0.13169796838097111,-41.62729891488191,0.0,-5.740496317517054,-5.223965075037648,owner_lpm_any,any complaint (pp),universe,766400
multi_prop_owner,2.7468920604050515,0.18860899622161387,14.563950370519326,0.0,2.377021361719239,3.116762759090864,owner_lpm_any,any complaint (pp),universe,766400
llc,1.0054441750169598,0.31546315709967027,3.1872000022471427,0.0014568394256533335,0.38680553142896756,1.624082818604952,owner_cond_violrate,violations per inspection (pp),inspected,135576
corp_other,0.4908185131517151,0.39047590511975483,1.2569751595842675,0.20889679403369676,-0.27492378942961915,1.2565608157330495,owner_cond_violrate,violations per inspection (pp),inspected,135576
trust_estate,0.19004132673680973,0.6056323326578723,0.31378992911887016,0.7537105060418576,-0.9976332284573552,1.3777158819309747,owner_cond_violrate,violations per inspection (pp),inspected,135576
nycha,-4.12547980531857,1.5920714623778653,-2.5912654694261588,0.009625930011141648,-7.2476096255986935,-1.0033499850384469,owner_cond_violrate,violations per inspection (pp),inspected,135576
govt,4.811900954386126,1.9145736177310677,2.5133016092056244,0.01203202767792444,1.0573286714862764,8.566473237285976,owner_cond_violrate,violations per inspection (pp),inspected,135576
owner_occ_star,-2.788755626393285,0.32272033499449176,-8.641400382907026,0.0,-3.4216259499353034,-2.1558853028512663,owner_cond_violrate,violations per inspection (pp),inspected,135576
is_coop,0.5025502004616799,0.6325606213967272,0.7944696262502439,0.427008245696298,-0.7379320428717616,1.7430324437951215,owner_cond_violrate,violations per inspection (pp),inspected,135576
is_condo,-2.2753214083876623,0.6068229604134406,-3.7495638049645326,0.00018173932774767643,-3.465330842705256,-1.0853119740700685,owner_cond_violrate,violations per inspection (pp),inspected,135576
era_pre1940,4.572508595653921,0.36103298869958417,12.665071444367952,0.0,3.864505288792122,5.28051190251572,owner_cond_violrate,violations per inspection (pp),inspected,135576
era_4079,3.4554560340383644,0.4395845296626619,7.860731670175219,5.995204332975845e-15,2.5934093225523247,4.317502745524404,owner_cond_violrate,violations per inspection (pp),inspected,135576
era_8099,2.096943542196526,0.7806991179139404,2.6859816977885713,0.007286360694491734,0.5659544790140127,3.627932605379039,owner_cond_violrate,violations per inspection (pp),inspected,135576
era_unknown,2.4065564447341354,1.8521331679836421,1.2993430960226666,0.19396310110184323,-1.2255670695300571,6.038679958998328,owner_cond_violrate,violations per inspection (pp),inspected,135576
mzone,2.155933018090681,0.968047509888167,2.2270942242697815,0.026042369396967358,0.2575446168843356,4.054321419297026,owner_cond_violrate,violations per inspection (pp),inspected,135576
multi_bldg,0.060553237486265774,0.29317760691050165,0.206541141134121,0.8363874487963314,-0.5143823547933182,0.6354888297658496,owner_cond_violrate,violations per inspection (pp),inspected,135576
com_class,2.072468731005175,0.6009150271652259,3.4488548918170663,0.0005736251476908816,0.8940450420553965,3.250892419954953,owner_cond_violrate,violations per inspection (pp),inspected,135576
log_bldgarea,-1.3854310790920568,0.5827450554073348,-2.3774222813845243,0.01751960550198417,-2.528222566850168,-0.24263959133394541,owner_cond_violrate,violations per inspection (pp),inspected,135576
log2_area_per_unit,0.15781172851870096,0.4531251237804465,0.3482740643512977,0.7276678745313376,-0.7307887487237477,1.0464122057611496,owner_cond_violrate,violations per inspection (pp),inspected,135576
value_rank,-4.228694739012758,0.5435539209511205,-7.779715270222521,1.1102230246251565e-14,-5.2946304998340885,-3.1627589781914267,owner_cond_violrate,violations per inspection (pp),inspected,135576
any_prior_viol,4.052437804325814,0.2588611429613029,15.654871016820056,0.0,3.544798472267075,4.560077136384554,owner_cond_violrate,violations per inspection (pp),inspected,135576
geo_nyc_other,0.06023375760751043,0.2613584100691055,0.23046420274589247,0.8177526221946583,-0.45230283709974733,0.5727703523147682,owner_cond_violrate,violations per inspection (pp),inspected,135576
geo_outside_nyc,0.3736231840005558,0.3917109632097262,0.9538236584930965,0.3402782726633471,-0.39454112775787825,1.1417874957589897,owner_cond_violrate,violations per inspection (pp),inspected,135576
geo_unknown,0.782325664392288,0.32935359785361196,2.3753366275355186,0.017618662159047727,0.13644718872418105,1.4282041400603949,owner_cond_violrate,violations per inspection (pp),inspected,135576
multi_prop_owner,0.20544770828681416,0.3428491992442194,0.5992363661332895,0.5490773148856802,-0.4668963002043597,0.877791716777988,owner_cond_violrate,violations per inspection (pp),inspected,135576
sh_conv,2.460249953023984,0.5288446004916133,4.652122666539355,3.481560524765115e-06,1.4231598873412954,3.497340018706672,owner_cond_violrate,violations per inspection (pp),inspected,135576
sh_constr,-6.021418696026932,0.42137414960064756,-14.289957515746186,0.0,-6.847753963665261,-5.195083428388602,owner_cond_violrate,violations per inspection (pp),inspected,135576
sh_elev,18.024827251436076,0.7358285775792985,24.49595979369744,0.0,16.581831507235382,19.46782299563677,owner_cond_violrate,violations per inspection (pp),inspected,135576
sh_boiler,13.362226388642823,0.6633826540545854,20.142562225546726,0.0,12.06130063535599,14.663152141929656,owner_cond_violrate,violations per inspection (pp),inspected,135576
llc,6.2934325642328774,0.17779570522461588,35.39698867462604,0.0,5.944767214052569,6.642097914413186,owner_lpm_anyecb,any ECB violation (pp),universe,766400
corp_other,3.033991832356597,0.2841674456626191,10.676774833520996,0.0,2.4767267295430604,3.5912569351701333,owner_lpm_anyecb,any ECB violation (pp),universe,766400
trust_estate,-2.059748561474771,0.10389140529593534,-19.825976514684385,0.0,-2.2634842656779144,-1.8560128572716277,owner_lpm_anyecb,any ECB violation (pp),universe,766400
nycha,-1.3970431357281778,2.5332193547241975,-0.5514892080398935,0.5813544718087744,-6.364799878123108,3.570713606666752,owner_lpm_anyecb,any ECB violation (pp),universe,766400
govt,4.758615588786187,1.3770349353437212,3.4556970681345787,0.0005593001225479011,2.05818833529557,7.459042842276803,owner_lpm_anyecb,any ECB violation (pp),universe,766400
