term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,pct_change
sg_chinese,0.28636561602688126,0.03829732005177795,7.477432249559894,7.571721027943568e-14,0.21130424802099282,0.36142698403276974,ppml_pooled_n_complaints,complaints,459970,33.15792129649808
sg_south_asian,0.4266741849428479,0.035142806363408545,12.141152887184058,0.0,0.3577955501549021,0.49555281973079374,ppml_pooled_n_complaints,complaints,459970,53.215338175032834
sg_korean_viet,-0.0698683396358044,0.07082153791817977,-0.9865408418061098,0.32386778379527237,-0.2086760032851746,0.0689393240135658,ppml_pooled_n_complaints,complaints,459970,-6.748341270252678
sg_asian_small,0.022446776374979466,0.23486034709237197,0.09557499447171904,0.9238581257861735,-0.4378710453226461,0.4827645980726051,ppml_pooled_n_complaints,complaints,459970,2.270060088260073
asian_uncl,0.22124537151013965,0.0334932606595677,6.605668339040576,3.957278948973908e-11,0.1555997868925747,0.2868909561277046,ppml_pooled_n_complaints,complaints,459970,24.76295257498382
black_c,0.00527828419654771,0.03266305857395372,0.1615979772560778,0.8716224502925232,-0.05874013423332381,0.06929670262641924,ppml_pooled_n_complaints,complaints,459970,0.5292238880036049
hisp_c,0.03306770969219162,0.03065747535921862,1.0786181609780938,0.2807579819602428,-0.02701983786880105,0.09315525725318428,ppml_pooled_n_complaints,complaints,459970,3.3620522999444624
mixed_uncertain,0.05072866566261157,0.029000858756929093,1.7492125349733345,0.08025428812510538,-0.0061119730217025076,0.10756930434692565,ppml_pooled_n_complaints,complaints,459970,5.203740068196061
owner_occ_star,-0.09216546271645851,0.017975849505562365,-5.127182595066745,2.941102406062157e-07,-0.12739748033887288,-0.056933445094044126,ppml_pooled_n_complaints,complaints,459970,-8.80457573655712
era_pre1940,0.21023902063128563,0.03404824765427079,6.174738352648074,6.627312032492227e-10,0.1435056814922145,0.2769723597703568,ppml_pooled_n_complaints,complaints,459970,23.39729697087909
era_4079,-0.03217908251706873,0.035464013902879454,-0.9073728260200122,0.364209674421176,-0.10168727251394023,0.03732910747980277,ppml_pooled_n_complaints,complaints,459970,-3.166684498797745
era_8099,-0.25881858339443964,0.07790693380958681,-3.3221508117239087,0.0008932639932317521,-0.41151336780717573,-0.10612379898170357,ppml_pooled_n_complaints,complaints,459970,-22.803694274148068
