,n,pctapi
HUA,54,0.9634
JAHAN,53,0.886
OH,53,0.9548
TO,53,0.9506
YEH,52,0.928
NGAI,51,0.9458
PRASAD,51,0.7897
YIU,51,0.9669
SHUM,51,0.811
BARUA,51,0.9105
GANESH,51,0.7837
MOK,51,0.9099
TU,49,0.9403
DOLMA,49,0.9629
YUE,49,0.9365
YOO,49,0.9549
SZETO,48,0.9519
SITU,48,0.9766
ANWAR,48,0.7618
ZHUANG,47,0.9802
MANGRA,47,0.539
DANG,47,0.95
HWANG,47,0.9604
JI,47,0.9691
PUN,46,0.8713
XING,46,0.9661
HANIFF,46,0.5079
SUKHU,46,0.5217
KHANAM,46,0.9819
SIDDIQUE,46,0.8936
HANIF,46,0.7193
BALRAM,45,0.6368
SARDAR,45,0.5762
JIA,45,0.9685
SUKHRAM,45,0.5497
TENG,45,0.9298
LUONG,45,0.9663
XIN,45,0.9673
MENG,44,0.5701
DOODNAUTH,44,0.6157
NAHAR,44,0.8812
QUAN,44,0.827
ASHRAF,44,0.8339
JUN,43,0.9419
RAMJIT,43,0.5112
LOU,43,0.7966
AZAM,43,0.8099
THAI,43,0.9561
PARMAR,42,0.9045
MIAO,42,0.9523
YEN,42,0.8912
HAI,42,0.7509
LAL,42,0.8124
GHOSH,41,0.9092
XIANG,41,0.9734
DI,41,0.6842
YUK,41,0.9049
LUU,41,0.9648
XIAN,41,0.976
SUKHDEO,41,0.5696
LUM,40,0.6194
MANNAN,40,0.6858
MAO,40,0.9477
RAMOTAR,40,0.5041
RAMPHAL,40,0.5659
SETO,40,0.7552
WIN,40,0.8801
RAMNARAIN,40,0.5548
