block,label,b_permit,se_permit,b_ecb,se_ecb,groups
ladder365,No controls,-0.14399383680790168,0.003037691482760629,0.002988110907087528,0.0029379355280459646,1
ladder365,Complaint category,-0.06197970601810641,0.00339707927995118,-0.05162720342798822,0.003388481562429991,290
ladder365,Category x unit,0.010042366605847293,0.003601678918781128,-0.0006082780386199065,0.0036040891986132595,1244
ladder365,Category x unit x month,0.00020371285761728314,0.003696267318026514,0.02731073203062354,0.0036419176643628735,27123
ladder365,+ borough,0.01437503471908511,0.0037405148139647492,0.033178461216746585,0.0037026884851995056,52891
ladder365,+ NTA (neighborhood),0.01377041585808845,0.0035457064254025097,0.025305957747628564,0.003500425755041682,254676
win30,nta,0.02323492902626249,0.0028639235123874606,-0.0031589647908105145,0.0022913797513575344,254676
win60,nta,0.01619525512412679,0.0031892400537820815,-0.002678402105667122,0.00277284008872275,254676
win90,nta,0.013689719971142093,0.003334200702305533,0.0014732257257135482,0.0030262995992654633,254676
win180,nta,0.009439315137975796,0.0034801001760292895,0.007093734839094425,0.003342671665152859,254676
win365,nta,0.01377041585808845,0.0035457064254025097,0.025305957747628564,0.003500425755041682,254676
