word,z,n_strict,n_lenient
tenant,-0.7904168543562141,63,48
well,-0.7891540830300122,35,28
expired,-0.7153223201215878,84,62
proposed,-0.67343178293317,134,96
allow,-0.6296033816593326,45,34
stop,-0.6040818574126138,41,31
balcony,-0.5892762851588148,44,33
according,-0.514429198518375,52,38
renovation,-0.5006951808419163,93,66
two,-0.4823982842788983,64,46
throughout,-0.4461595641403288,85,60
clear,-0.4253776500385015,75,53
interior,-0.40782777322317787,203,139
granted,-0.3509601753717186,48,34
new,-0.3116461933300624,614,410
structure,-0.27673688823324283,86,59
mean,-0.27331650441406746,98,67
kitchen,-0.2713316773915111,40,28
line,-0.2430450728334164,85,58
person,-0.24270862182621442,136,92
commercial,-0.19058353270494557,143,96
steel,-0.13035411770950478,61,41
top,-0.09550933549202412,69,46
paint,-0.06897263068379829,36,24
const,-0.050170002075196445,62,41
extension,-0.03243895969128251,47,31
back,0.014916174254874754,98,64
seen,0.034951028905208195,37,24
install,0.07170214467783552,62,40
store,0.11570068940090919,78,50
repair,0.11730140043429846,192,124
wall,0.19813073386235797,254,163
require,0.2242011007139972,92,58
conversion,0.23776284430950703,39,24
shift,0.2792208006735675,41,25
violation,0.28595089405366814,2698,1751
document,0.3367866631436186,200,126
dot,0.377262583433698,77,47
dwg,0.3961390404900946,39,23
tile,0.45756096701029114,38,22
vertical,0.47066045033411175,43,25
stair,0.48991316684683867,77,46
obtained,0.5178298090604392,160,98
signed,0.5364610478109232,236,146
house,0.5530021873810147,186,114
space,0.5941235898808825,109,65
faade,0.6120805707795121,56,32
superintendent,0.6402145106624423,84,49
painting,0.647242134654087,76,44
suspended,0.6564860779533367,81,47
issued,0.6588516847635426,821,518
cse,0.6657931036011493,86,50
pre,0.6843861939148509,70,40
removal,0.7047591191953386,67,38
home,0.7173851775926774,44,24
family,0.785406011418579,109,63
alteration,0.7868606478661324,143,84
netting,0.8080296434382089,124,72
public,0.8168011655446521,85,48
show,0.8170350928761047,40,21
fire,0.8409708326944477,226,135
exterior,0.8659396368573774,327,198
safety,0.8682344216869714,308,186
minor,0.9156616529229423,103,58
ecb,0.9583297888345171,62,33
legal,0.9890310456517211,59,31
plate,1.00597487533709,42,21
service,1.0124016054865317,61,32
elevator,1.0404654981940267,80,43
progress,1.046434909125539,585,357
ssm,1.0754698304997319,48,24
review,1.0976595415409933,50,25
excessive,1.1114163382147126,64,33
common,1.1535326502129397,68,35
subject,1.2419489121892515,41,19
premise,1.274881333565171,360,211
formwork,1.2778560393405198,45,21
zone,1.2797689407261064,61,30
panel,1.3027140723319925,77,39
sign,1.3053077747906252,427,252
special,1.3173596701135806,72,36
bathroom,1.405210240501853,75,37
zoning,1.4237353923795557,43,19
dust,1.447955878542478,65,31
location,1.4547656441844505,256,144
noise,1.478647879367939,116,60
built,1.5122975243304946,44,19
prior,1.5369305388023453,48,21
ground,1.5375635906138423,59,27
driveway,1.5647973143407123,167,89
meter,1.6766308837755435,44,18
restored,1.7624942935679413,45,18
roof,1.7626549537401444,357,200
brick,1.821919018474813,83,38
previou,1.8520773098398757,48,19
emergency,1.852596395985455,78,35
basement,1.863483144928813,182,94
wood,1.9486126696354134,55,22
super,1.9758790664163195,109,51
corner,2.0095492031478615,44,16
ceiling,2.011533897701874,48,18
utility,2.011533897701874,48,18
overhead,2.0138731282817646,50,19
car,2.0214645623666296,108,50
warranted,2.025913675835237,1827,1108
system,2.0817460498199365,218,112
excavation,2.1142266308451663,95,42
provide,2.1424520119273547,73,30
construction,2.213018057382201,3718,2298
occupied,2.274709410559333,221,111
ahv,2.31099909371611,126,57
foundation,2.3403328637232863,110,48
transient,2.3730720696821783,105,45
material,2.390084785464313,122,54
recommending,2.4010379511545823,78,0
used,2.402959958256393,75,29
verify,2.4050380813174037,51,17
department,2.4106783734995485,49,16
cut,2.467168731517111,169,79
lighting,2.4735992328958605,80,31
bell,2.5041906880201834,46,14
owner,2.5669139908356664,173,80
using,2.5809803472620154,47,14
garage,2.593113750793088,179,83
truck,2.6045479132569263,62,21
monitoring,2.608743195173619,60,20
sprinkler,2.61996227400836,56,18
partial,2.6531017408268025,164,74
illegal,2.656362650772857,227,109
walk,2.6590793679808007,75,27
covered,2.668732986250002,91,35
room,2.7415105386547522,102,40
intact,2.7609160141399873,58,18
pvo,2.7609160141399873,58,18
posted,2.776910516672907,611,331
property,2.793333016351399,775,429
use,2.8140727538050725,300,148
missing,2.839297385037659,57,17
noticed,2.8617495653109053,53,15
existing,2.8746937274969935,154,66
made,2.87496733480961,51,14
condition,2.8868899956053546,3675,2230
escape,2.891753921671403,126,51
unit,2.8989909898443442,186,83
atoi,2.900657276417121,616,331
garbage,2.907930693264019,58,17
storage,2.9199208319490504,138,57
due,2.9244195638598365,117,46
vibrating,2.9513527410010862,150,63
doing,2.9755726928617086,59,17
repaired,2.9797841365691844,120,47
window,2.9836011246239753,199,89
shaking,2.9975419118013726,203,91
side,3.0027467688092067,168,72
entire,3.0310758659450334,62,18
specific,3.0754854157904674,92,32
curb,3.0975981036768947,172,73
regulation,3.1207646789500387,59,16
installing,3.1207646789500387,59,16
rear,3.1628804525621863,335,162
company,3.1728136081884513,62,17
stop work order,3.2057608347373967,464,235
ade,3.2807975857715825,57,14
stored,3.2976626496752157,55,13
device,3.2976626496752157,55,13
date,3.335810169210538,113,40
enclosed,3.3386341392763463,82,25
phase,3.3550653908390573,78,23
first,3.391555083398589,61,15
measure,3.3971686461761172,70,19
locked,3.4256837595116543,247,109
correct,3.4430346282978137,55,12
installed,3.4466647063342357,333,156
leak,3.4536317427882546,84,25
approx,3.4698795669718208,60,14
changed,3.487168518724766,58,13
inside,3.5231536071677554,98,31
observation,3.5238333059136475,54,11
obstruction,3.5482707334573447,192,78
facade,3.589104420399347,229,97
water,3.5967126861882677,197,80
resolved,3.686786356363315,86,24
blocking,3.6973556993510637,84,23
one,3.7170871772278526,145,52
