block,label,outcome,fe,b,se,t,n
firststage,No controls,violation_found,none,0.9964852577480706,0.0003373973081493076,2953.4475636868406,550087
firststage,Category,violation_found,cat,0.8746114427501132,0.017493348634495535,49.99679941354663,550055
firststage,Category x unit,violation_found,cat_unit,0.8857981522214339,0.017102886247822007,51.792319693071526,549755
firststage,Cat x unit x month,violation_found,cat_unit_ym,0.8851398127035437,0.01891513303712383,46.7953257831347,543026
firststage,+ time of day,violation_found,cell_time,0.8884767746773476,0.019009989471979925,46.73736279480491,541103
firststage,+ priority + day,violation_found,kitchen,0.8870955054336391,0.021643441901412486,40.98680373826059,501769
firststage,+ NTA (neighborhood),violation_found,cell_nta,0.918943797309597,0.019870762547533744,46.24602579349183,384672
firststage,+ census tract,violation_found,cell_tract,0.9574954352561661,0.025190122547565804,38.01074938989099,194506
penalty,Category x unit x month,log_pen365,cat_unit_ym,0.25162829682215465,0.1708561970098291,1.4727490206730918,543026
penalty,+ NTA (neighborhood),log_pen365,cell_nta,0.2681878972600193,0.09883306358376488,2.7135443093162803,384672
penalty,+ census tract,log_pen365,cell_tract,0.21956663468641288,0.07152344960838686,3.069855213760082,194506
ladder365,No controls,any_permit_365d,none,-0.1439938368079557,0.0465263275038127,-3.0948893784095857,550087
ladder365,No controls,ecb365,none,0.002988110907087774,0.029339043182357166,0.1018475922515651,550087
ladder365,Complaint category,any_permit_365d,cat,-0.06197970601809645,0.03304808026709918,-1.8754404345779803,550055
ladder365,Complaint category,ecb365,cat,-0.051627203427980134,0.023130374223831372,-2.232008999438855,550055
ladder365,Category x unit,any_permit_365d,cat_unit,0.010042366605849444,0.023300014841741847,0.43100258407812686,549755
ladder365,Category x unit,ecb365,cat_unit,-0.0006082780386205693,0.018500213215895733,-0.03287951503704429,549755
ladder365,Category x unit x month,any_permit_365d,cat_unit_ym,0.0002037128576169542,0.024316999318630433,0.00837738468252865,543026
ladder365,Category x unit x month,ecb365,cat_unit_ym,0.027310732030622984,0.018280316661574893,1.4939966596984595,543026
ladder365,+ borough,any_permit_365d,cell_boro,0.014375034719086894,0.02215139267707607,0.6489449638064185,533675
ladder365,+ borough,ecb365,cell_boro,0.03317846121674917,0.01545514913113261,2.1467577527230066,533675
ladder365,+ NTA (neighborhood),any_permit_365d,cell_nta,0.013770415858088584,0.015018118913157744,0.9169201507669501,384672
ladder365,+ NTA (neighborhood),ecb365,cell_nta,0.025305957747629,0.011388116721077085,2.2221371950634143,384672
ladder90,No controls,any_permit_90d,none,-0.12424853043588611,0.04046597987542492,-3.0704441315491913,550087
ladder90,Complaint category,any_permit_90d,cat,-0.05186322585502869,0.027364254807791442,-1.8952909998580207,550055
ladder90,Category x unit,any_permit_90d,cat_unit,0.015872107517508623,0.018852208039729815,0.8419229983065738,549755
ladder90,Category x unit x month,any_permit_90d,cat_unit_ym,-0.004170832552921922,0.019323113705191276,-0.21584681519528612,543026
ladder90,+ borough,any_permit_90d,cell_boro,0.006128011527605779,0.01899065952264023,0.3226855560387518,533675
ladder90,+ NTA (neighborhood),any_permit_90d,cell_nta,0.013689719971142203,0.01141534433959038,1.1992384604346886,384672
windows,30d,any_permit_30d,cell_nta,0.02323492902626284,0.010443641252132178,2.2247919538139236,384672
windows,30d,ecb30,cell_nta,-0.0031589647908105596,0.004341978384525751,-0.7275404230635282,384672
windows,60d,any_permit_60d,cell_nta,0.016195255124127117,0.010461388158417621,1.548098099303945,384672
windows,60d,ecb60,cell_nta,-0.002678402105667184,0.00574556690408489,-0.4661684652497802,384672
windows,90d,any_permit_90d,cell_nta,0.013689719971142203,0.01141534433959038,1.1992384604346886,384672
windows,90d,ecb90,cell_nta,0.0014732257257135623,0.006967576178574818,0.21144020358811536,384672
windows,180d,any_permit_180d,cell_nta,0.009439315137976039,0.013271643530740052,0.7112393514874404,384672
windows,180d,ecb180,cell_nta,0.0070937348390946635,0.009791165904627485,0.7245035890712498,384672
windows,365d,any_permit_365d,cell_nta,0.013770415858088584,0.015018118913157744,0.9169201507669501,384672
windows,365d,ecb365,cell_nta,0.025305957747629,0.011388116721077085,2.2221371950634143,384672
tract,first stage,violation_found,cell_tract,0.9574954352561661,0.025190122547565804,38.01074938989099,194506
tract,permit 30d,any_permit_30d,cell_tract,0.055025681847451,0.008473605179201376,6.493774572187122,194506
tract,permit 90d,any_permit_90d,cell_tract,0.03827971579102339,0.008932897059276359,4.285252089776614,194506
tract,permit 365d,any_permit_365d,cell_tract,0.02087052275303742,0.008901083208263246,2.344717183821228,194506
tract,new ECB 365d,ecb365,cell_tract,0.02102172723795718,0.008549066927097374,2.458949896780676,194506
