term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,n,pct_change
p_black,-0.09541213454726077,0.40507983273125575,-0.23553908844077298,0.8138146288759494,-0.8898381742580199,0.6990139051634983,lpm_agency_all,177734,-9.100177231429797
p_hispanic,0.32710011670125344,0.32380584364414333,1.0101736059486637,0.3125351781196568,-0.3079346917881635,0.9621349251906703,lpm_agency_all,177734,38.69403261199238
p_asian,0.10276649828206477,0.2521441690095935,0.40757039389697225,0.6836330317531631,-0.39172835788458205,0.5972613544487116,lpm_agency_all,177734,10.823260464448703
owner_occ_star,-0.14086426542150834,0.20247587761498664,-0.6957088769328145,0.4866925648353422,-0.537951695092067,0.25622316424905023,lpm_agency_all,177734,-13.139279627085276
era_pre1940,-0.6357839300151632,0.3220873347326036,-1.973948868691127,0.04852594638373997,-1.267448468946609,-0.004119391083717283,lpm_agency_all,177734,-47.047978122542744
era_4079,-1.0125904689480971,0.3272853566150242,-3.0939070400854396,0.0020029140597386252,-1.6544491563034192,-0.3707317815927752,lpm_agency_all,177734,-63.67232973888298
era_8099,-1.824481857678929,0.5643488499254112,-3.232897272529335,0.0012455019082160401,-2.931259795347838,-0.7177039200100197,lpm_agency_all,177734,-83.86988005409894
era_unknown,0.03316648372417324,1.78989667907897,0.018529831420906244,0.9852180409286517,-3.4771058511503976,3.543438818598744,lpm_agency_all,177734,3.372262290836714
mixed_use,0.30567340657684233,0.41871244438600325,0.7300318170029064,0.46545683569762875,-0.515488354867516,1.1268351680212008,lpm_agency_all,177734,35.753887087333844
mzone,0.5399754093152701,0.9013068730388027,0.5991027312315006,0.5491727119275773,-1.2276308545772552,2.307581673207795,lpm_agency_all,177734,71.5964664919948
multi_bldg,0.06928457948124211,0.1750443263097753,0.395811626357026,0.6922865146906605,-0.27400521104350556,0.4125743700059898,lpm_agency_all,177734,7.1741161298434
log2_area_per_unit,0.7300759028122727,0.21623145672491997,3.37636305961275,0.0007486630519126791,0.3060115926523755,1.15414021297217,lpm_agency_all,177734,107.52381181056046
value_rank,-0.0679144880865276,0.5290605720978325,-0.12836807667831468,0.8978706904410145,-1.105486495127498,0.9696575189544429,lpm_agency_all,177734,-6.56596326061214
any_prior_viol,0.2614124360100652,0.1805593977891428,1.4477919134142359,0.14783309268274292,-0.09269328767169649,0.6155181596918269,lpm_agency_all,177734,29.876321170386966
geo_nyc_other,-0.11544230513751275,0.1591744106160193,-0.7252566834753188,0.468380018958525,-0.42760866453480056,0.19672405425977507,lpm_agency_all,177734,-10.90280247401887
geo_outside_nyc,-0.46213034652258206,0.3136840289141416,-1.473235179114177,0.14084610062250147,-1.077314664958163,0.15305397191299902,lpm_agency_all,177734,-37.00597759273728
geo_unknown,-0.6894598105912312,0.18989482905938654,-3.630745576413846,0.0002897605364391431,-1.061873801171908,-0.31704582001055437,lpm_agency_all,177734,-49.81529116594626
multi_prop_owner,0.13914960001842755,0.18798811171449759,0.74020425413793,0.4592635604504067,-0.22952501430415526,0.5078242143410103,lpm_agency_all,177734,14.929602184957623
p_black,1.4229692582006543,0.7771899472562085,1.8309156766943593,0.06729186651792585,-0.1014038362398475,2.947342352641156,lpm_agency_conv,39675,314.94228745589885
p_hispanic,0.261197516986542,0.5865014606635026,0.44534845095023656,0.656125888256569,-0.8891609631274142,1.411555997100498,lpm_agency_conv,39675,29.84841127755311
p_asian,-0.33111184670507104,0.4813128883631601,-0.6879347192033649,0.4915897735724417,-1.2751544448093084,0.6129307513991662,lpm_agency_conv,39675,-28.187515534905906
owner_occ_star,0.05555855907380653,0.4816843048307916,0.11534226570517678,0.908187755305087,-0.8892125318166387,1.0003296499642518,lpm_agency_conv,39675,5.713091986747965
era_pre1940,0.14899851189771438,0.6249157127878047,0.23842977356581216,0.8115771348773415,-1.076705323091291,1.3747023468867199,lpm_agency_conv,39675,16.067126201024262
era_4079,0.1808354246442623,0.6594214665475725,0.2742334513176124,0.7839392613996368,-1.112547673079004,1.4742185223675286,lpm_agency_conv,39675,19.821796591742192
era_8099,1.7082898362633891,0.8947508477092643,1.909235225243924,0.05640359263210226,-0.0466661089222975,3.463245781449076,lpm_agency_conv,39675,451.95141287630906
era_unknown,11.555670799987166,8.142615205359384,1.4191596322003948,0.15603976751247184,-4.415178515875253,27.526520115849586,lpm_agency_conv,39675,10436620.742733348
mixed_use,0.9730725940738715,1.1959738021858464,0.813623669929404,0.41597697921366494,-1.3726992370519944,3.3188444251997375,lpm_agency_conv,39675,164.6062256828809
mzone,1.9012476823479447,1.7549324458862885,1.0833737143584254,0.278799531410451,-1.5408604052748391,5.343355769970729,lpm_agency_conv,39675,569.4241520923631
multi_bldg,-0.05836608817411958,0.2725756370485415,-0.21412804462684054,0.8304734414376045,-0.5929933936142917,0.47626121726605253,lpm_agency_conv,39675,-5.669544842293927
