boroct2020,boroname,ntaname
4066404,Queens,Springfield Gardens (South)-Brookville
4066501,Queens,Middle Village
4066701,Queens,Maspeth
4066900,Queens,Maspeth
4067100,Queens,Middle Village
4067700,Queens,Middle Village
4067900,Queens,Middle Village
4068000,Queens,Springfield Gardens (South)-Brookville
4068200,Queens,Laurelton
4068300,Queens,Elmhurst
4068700,Queens,Rego Park
4069000,Queens,Springfield Gardens (South)-Brookville
4069300,Queens,Rego Park
4069400,Queens,Springfield Gardens (South)-Brookville
4069500,Queens,Rego Park
4069701,Queens,Rego Park
4069702,Queens,Rego Park
4070300,Queens,Rego Park
4070700,Queens,Forest Hills
4070900,Queens,Forest Hills
4071100,Queens,Forest Hills
4071303,Queens,Forest Hills
4071304,Queens,Forest Hills
4071305,Queens,Forest Hills
4071306,Queens,Forest Hills
4071600,Queens,John F. Kennedy International Airport
4071701,Queens,Rego Park
4071702,Queens,Rego Park
4071900,Queens,Forest Hills
4072100,Queens,Forest Hills
4072300,Queens,Forest Hills
4072900,Queens,Forest Hills
4073100,Queens,Forest Hills
4073700,Queens,Forest Hills
4073900,Queens,Forest Hills
4074100,Queens,Forest Hills
4074300,Queens,Forest Hills
4074500,Queens,Forest Hills
4074700,Queens,Forest Hills
4074900,Queens,Forest Hills
4075701,Queens,Forest Hills
4075702,Queens,Forest Hills
4076901,Queens,Forest Hills
4076902,Queens,Forest Hills
4077300,Queens,Kew Gardens
4077500,Queens,Kew Gardens
4077902,Queens,Kew Gardens Hills
4077903,Queens,Kew Gardens Hills
4077904,Queens,Kew Gardens Hills
4077905,Queens,Kew Gardens Hills
4077906,Queens,Kew Gardens Hills
4077907,Queens,Kew Gardens Hills
4077908,Queens,Kew Gardens Hills
4078800,Queens,Baisley Park
4079000,Queens,Baisley Park
4079200,Queens,Baisley Park
4079300,Queens,Mount Hebron & Cedar Grove Cemeteries
4079701,Queens,Flushing-Willets Point
4079702,Queens,Flushing-Willets Point
4079900,Queens,Queensboro Hill
4080301,Queens,Queensboro Hill
4080302,Queens,Queensboro Hill
4080900,Queens,Kew Gardens Hills
4081400,Queens,South Ozone Park
4081800,Queens,South Ozone Park
4083700,Queens,Queensboro Hill
4083800,Queens,South Ozone Park
4084000,Queens,South Ozone Park
4084500,Queens,East Flushing
4084601,Queens,South Ozone Park
4084602,Queens,South Ozone Park
4084901,Queens,Flushing-Willets Point
4084902,Queens,Flushing-Willets Point
4085300,Queens,Flushing-Willets Point
4085500,Queens,Flushing-Willets Point
4085700,Queens,Flushing-Willets Point
4085900,Queens,Flushing-Willets Point
4086100,Queens,East Flushing
4086300,Queens,Murray Hill-Broadway Flushing
4086400,Queens,South Ozone Park
4086500,Queens,Flushing-Willets Point
4086900,Queens,Flushing-Willets Point
4087100,Queens,Flushing-Willets Point
4088400,Queens,Howard Beach-Lindenwood
4088902,Queens,Flushing-Willets Point
4088903,Queens,Murray Hill-Broadway Flushing
4089201,Queens,Howard Beach-Lindenwood
4089202,Queens,Spring Creek Park
4090700,Queens,College Point
4091602,Queens,Jacob Riis Park-Fort Tilden-Breezy Point Tip
4091603,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
4091604,Queens,Jacob Riis Park-Fort Tilden-Breezy Point Tip
4091800,Queens,Jacob Riis Park-Fort Tilden-Breezy Point Tip
4091900,Queens,College Point
4092200,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
4092500,Queens,College Point
4092800,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
4092900,Queens,College Point
4093401,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
4093402,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
4093800,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
4093900,Queens,College Point
4094201,Queens,Rockaway Beach-Arverne-Edgemere
4094202,Queens,Rockaway Beach-Arverne-Edgemere
4094203,Queens,Rockaway Beach-Arverne-Edgemere
4094500,Queens,College Point
4094700,Queens,College Point
4095400,Queens,Rockaway Beach-Arverne-Edgemere
4096400,Queens,Rockaway Beach-Arverne-Edgemere
4097202,Queens,Rockaway Beach-Arverne-Edgemere
4097204,Queens,Rockaway Beach-Arverne-Edgemere
4097205,Queens,Rockaway Beach-Arverne-Edgemere
4097206,Queens,Rockaway Beach-Arverne-Edgemere
4097207,Queens,Rockaway Community Park
4097300,Queens,Whitestone-Beechhurst
4098100,Queens,Whitestone-Beechhurst
4098700,Queens,Whitestone-Beechhurst
4099100,Queens,Whitestone-Beechhurst
4099200,Queens,Far Rockaway-Bayswater
4099701,Queens,Bay Terrace-Clearview
4099703,Queens,Bay Terrace-Clearview
4099704,Queens,Bay Terrace-Clearview
4099705,Queens,Bay Terrace-Clearview
4099801,Queens,Far Rockaway-Bayswater
4099802,Queens,Far Rockaway-Bayswater
4099900,Queens,Fort Totten
4100801,Queens,Far Rockaway-Bayswater
4100803,Queens,Far Rockaway-Bayswater
4100804,Queens,Far Rockaway-Bayswater
4101002,Queens,Far Rockaway-Bayswater
4101003,Queens,Far Rockaway-Bayswater
4101004,Queens,Far Rockaway-Bayswater
4101700,Queens,Bay Terrace-Clearview
4102900,Queens,Whitestone-Beechhurst
4103201,Queens,Far Rockaway-Bayswater
4103202,Queens,Far Rockaway-Bayswater
4103300,Queens,Whitestone-Beechhurst
4103900,Queens,Whitestone-Beechhurst
4104700,Queens,Murray Hill-Broadway Flushing
4105900,Queens,Murray Hill-Broadway Flushing
4107201,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
4107202,Queens,Jamaica Bay (East)
4108500,Queens,Auburndale
4109300,Queens,Bayside
4109700,Queens,Bayside
4109900,Queens,Auburndale
4111300,Queens,Bayside
4112300,Queens,Bayside
4112900,Queens,Bayside
4113300,Queens,Auburndale
4113900,Queens,Auburndale
4114100,Queens,Murray Hill-Broadway Flushing
4114700,Queens,Murray Hill-Broadway Flushing
4115100,Queens,Murray Hill-Broadway Flushing
4115500,Queens,Murray Hill-Broadway Flushing
4115700,Queens,Murray Hill-Broadway Flushing
4115900,Queens,Murray Hill-Broadway Flushing
4116100,Queens,Flushing-Willets Point
4116301,Queens,Murray Hill-Broadway Flushing
4116302,Queens,Murray Hill-Broadway Flushing
4116700,Queens,Murray Hill-Broadway Flushing
4117100,Queens,Murray Hill-Broadway Flushing
4117500,Queens,Murray Hill-Broadway Flushing
4118100,Queens,Auburndale
4118500,Queens,East Flushing
4118700,Queens,East Flushing
4118900,Queens,East Flushing
4119100,Queens,East Flushing
4119300,Queens,East Flushing
4119500,Queens,East Flushing
4119900,Queens,East Flushing
4120100,Queens,East Flushing
4120300,Queens,East Flushing
4120500,Queens,East Flushing
4120701,Queens,East Flushing
4120702,Queens,East Flushing
4121100,Queens,Kissena Park
4121500,Queens,Queensboro Hill
4122300,Queens,Fresh Meadows-Utopia
4122702,Queens,Pomonok-Electchester-Hillcrest
4122703,Queens,Pomonok-Electchester-Hillcrest
4122704,Queens,Pomonok-Electchester-Hillcrest
4124100,Queens,Pomonok-Electchester-Hillcrest
4124700,Queens,Pomonok-Electchester-Hillcrest
4125700,Queens,Pomonok-Electchester-Hillcrest
4126500,Queens,Pomonok-Electchester-Hillcrest
4126700,Queens,Pomonok-Electchester-Hillcrest
4127700,Queens,Jamaica Estates-Holliswood
4128300,Queens,Cunningham Park
4129102,Queens,Oakland Gardens-Hollis Hills
4129103,Queens,Oakland Gardens-Hollis Hills
4129104,Queens,Oakland Gardens-Hollis Hills
4130100,Queens,Bellerose
4133300,Queens,Fresh Meadows-Utopia
4133900,Queens,Fresh Meadows-Utopia
4134100,Queens,Fresh Meadows-Utopia
4134701,Queens,Fresh Meadows-Utopia
4134702,Queens,Fresh Meadows-Utopia
4136700,Queens,Oakland Gardens-Hollis Hills
4137700,Queens,Oakland Gardens-Hollis Hills
4138501,Queens,Bayside
4138502,Queens,Alley Pond Park
4139900,Queens,Bayside
4140300,Queens,Bayside
4140901,Queens,Auburndale
4140902,Queens,Auburndale
4141700,Queens,Auburndale
4142900,Queens,Auburndale
4143500,Queens,Bayside
4144100,Queens,Bayside
4144700,Queens,Bayside
4145101,Queens,Auburndale
4145102,Queens,Auburndale
4145900,Queens,Auburndale
4146300,Queens,Auburndale
4146700,Queens,Bayside
4147100,Queens,Bayside
4147900,Queens,Douglaston-Little Neck
4148300,Queens,Douglaston-Little Neck
4150701,Queens,Douglaston-Little Neck
4150702,Queens,Douglaston-Little Neck
4152901,Queens,Douglaston-Little Neck
4152902,Queens,Douglaston-Little Neck
4155101,Queens,Glen Oaks-Floral Park-New Hyde Park
4155103,Queens,Glen Oaks-Floral Park-New Hyde Park
4155104,Queens,Glen Oaks-Floral Park-New Hyde Park
4156700,Queens,Bellerose
4157101,Queens,Bellerose
4157102,Queens,Bellerose
4157901,Queens,Glen Oaks-Floral Park-New Hyde Park
4157902,Queens,Glen Oaks-Floral Park-New Hyde Park
4157903,Queens,Glen Oaks-Floral Park-New Hyde Park
4161700,Queens,Bellerose
4162100,Queens,Bellerose
5000300,Staten Island,St. George-New Brighton
5000600,Staten Island,Rosebank-Shore Acres-Park Hill
5000700,Staten Island,St. George-New Brighton
5000800,Staten Island,Rosebank-Shore Acres-Park Hill
5000900,Staten Island,St. George-New Brighton
5001100,Staten Island,St. George-New Brighton
5001700,Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills
5001800,Staten Island,Fort Wadsworth
5002001,Staten Island,Rosebank-Shore Acres-Park Hill
5002002,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills
5002100,Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills
5002700,Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills
5002900,Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills
5003300,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5003600,Staten Island,Rosebank-Shore Acres-Park Hill
5003900,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5004001,Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills
5004002,Staten Island,Rosebank-Shore Acres-Park Hill
5004003,Staten Island,Rosebank-Shore Acres-Park Hill
5004004,Staten Island,Rosebank-Shore Acres-Park Hill
5004700,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5005000,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills
5005901,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5005902,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5006400,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills
5006700,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5007001,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills
5007002,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills
5007400,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills
5007500,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5007700,Staten Island,St. George-New Brighton
5008100,Staten Island,St. George-New Brighton
5009601,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills
5009602,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills
5009701,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5009702,Staten Island,Snug Harbor
5010500,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5011201,Staten Island,New Dorp-Midland Beach
5011203,Staten Island,New Dorp-Midland Beach
5011204,Staten Island,Miller Field
5011401,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills
5011402,Staten Island,New Dorp-Midland Beach
5012100,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5012200,Staten Island,New Dorp-Midland Beach
5012500,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5012804,Staten Island,New Dorp-Midland Beach
5012805,Staten Island,Oakwood-Richmondtown
5012806,Staten Island,Oakwood-Richmondtown
5013201,Staten Island,Oakwood-Richmondtown
5013203,Staten Island,Great Kills-Eltingville
5013204,Staten Island,Oakwood-Richmondtown
5013301,Staten Island,West New Brighton-Silver Lake-Grymes Hill
5013302,Staten Island,Port Richmond
5013400,Staten Island,New Dorp-Midland Beach
5013800,Staten Island,Oakwood-Richmondtown
5014100,Staten Island,Port Richmond
5014604,Staten Island,Great Kills-Eltingville
5014605,Staten Island,Great Kills-Eltingville
5014606,Staten Island,Great Kills-Eltingville
5014607,Staten Island,Great Kills-Eltingville
5014608,Staten Island,Great Kills-Eltingville
5014700,Staten Island,Westerleigh-Castleton Corners
5015100,Staten Island,Westerleigh-Castleton Corners
5015400,Staten Island,Great Kills Park
5015601,Staten Island,Great Kills-Eltingville
5015602,Staten Island,Great Kills-Eltingville
5015603,Staten Island,Great Kills-Eltingville
5016901,Staten Island,Westerleigh-Castleton Corners
5017005,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow
5017007,Staten Island,Arden Heights-Rossville
5017009,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow
5017011,Staten Island,Great Kills-Eltingville
5017012,Staten Island,Great Kills-Eltingville
5017013,Staten Island,Arden Heights-Rossville
5017014,Staten Island,Arden Heights-Rossville
5017015,Staten Island,Arden Heights-Rossville
5017016,Staten Island,Arden Heights-Rossville
5017300,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
5017600,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow
5017701,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
5017702,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
5018100,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
5018701,Staten Island,Westerleigh-Castleton Corners
5018703,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
5018704,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
5018901,Staten Island,Westerleigh-Castleton Corners
5018902,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
5019700,Staten Island,Westerleigh-Castleton Corners
5019800,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow
5020100,Staten Island,Westerleigh-Castleton Corners
5020701,Staten Island,Port Richmond
5020702,Staten Island,Port Richmond
5020803,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow
5020804,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow
5020805,Staten Island,Arden Heights-Rossville
5020806,Staten Island,Arden Heights-Rossville
5021300,Staten Island,Port Richmond
5022300,Staten Island,Mariner's Harbor-Arlington-Graniteville
5022601,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow
5022602,Staten Island,Tottenville-Charleston
5022801,Staten Island,Freshkills Park (South)
5022802,Staten Island,Freshkills Park (North)
5023100,Staten Island,Mariner's Harbor-Arlington-Graniteville
5023900,Staten Island,Mariner's Harbor-Arlington-Graniteville
5024401,Staten Island,Tottenville-Charleston
5024402,Staten Island,Tottenville-Charleston
5024700,Staten Island,Port Richmond
5024800,Staten Island,Tottenville-Charleston
5025100,Staten Island,Westerleigh-Castleton Corners
5027301,Staten Island,New Springville-Willowbrook-Bulls Head-Travis
5027302,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
5027702,Staten Island,New Springville-Willowbrook-Bulls Head-Travis
5027704,Staten Island,New Springville-Willowbrook-Bulls Head-Travis
5027705,Staten Island,New Springville-Willowbrook-Bulls Head-Travis
5027706,Staten Island,New Springville-Willowbrook-Bulls Head-Travis
5027900,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
5029102,Staten Island,New Springville-Willowbrook-Bulls Head-Travis
5029104,Staten Island,New Springville-Willowbrook-Bulls Head-Travis
5029105,Staten Island,New Springville-Willowbrook-Bulls Head-Travis
5029106,Staten Island,New Springville-Willowbrook-Bulls Head-Travis
5030301,Staten Island,Mariner's Harbor-Arlington-Graniteville
5030302,Staten Island,Mariner's Harbor-Arlington-Graniteville
5031901,Staten Island,Mariner's Harbor-Arlington-Graniteville
5031902,Staten Island,Mariner's Harbor-Arlington-Graniteville
5032300,Staten Island,Mariner's Harbor-Arlington-Graniteville
5990100,Staten Island,Hoffman & Swinburne Islands
