word,z,n_strict,n_lenient
construction observed,-6.0413456040796865,75,113
needle beam,-6.037484432958894,12,51
activity noted,-6.020171093822574,5,51
hazardou condition,-6.0076219403873665,322,317
time appointment,-5.995160072947634,17,55
appear completed,-5.986233478242368,23,61
electrical wire,-5.961692244028831,32,70
competent person,-5.907985196148403,88,123
require permit,-5.894126589884196,56,93
sst card,-5.8905332653038,28,65
demo permit,-5.889499085035954,12,49
letter provided,-5.872042484126772,5,48
substantially completed,-5.849942040937087,8,46
inspection sign,-5.822973120018509,9,46
but observed,-5.820624172575907,5,47
per borough,-5.819737387779226,1,135
access provided,-5.7993072057446104,11,47
issue observed,-5.713890053843966,8,44
use conform,-5.7137110818295485,1,126
bright light,-5.661564883251407,7,43
suspended scaffold,-5.6546683983516735,91,122
rescind letter,-5.652686097535459,1,121
commercial space,-5.649320665542764,107,136
permit renewed,-5.646919303344824,4,46
swo job,-5.64028435405129,1,120
wash station,-5.595752221115278,3,50
hanging wire,-5.595752221115278,3,50
training requirement,-5.589984329178385,1,116
job filing,-5.585659814592899,17,50
electrical permit,-5.576966939350236,180,196
per rescission,-5.572691856427241,0,327
scaffold removed,-5.571719781634812,8,42
roof protection,-5.553445810281109,65,97
perimeter inspection,-5.5010140700692185,14,46
observed owner,-5.49576237329178,2,60
closed construction,-5.483256358697148,66,97
entrance door,-5.4320850630887145,119,143
stop work order exist,-5.414865971059433,14,45
permit holder,-5.409066022113256,12,43
work going,-5.384375989942329,43,74
per rescind,-5.376203729031014,1,100
exterior building,-5.372315975462277,82,110
time inspection,-5.366899652543085,10337,6856
warranted action,-5.36208168860385,1,99
observed interior,-5.319208533995263,18,48
per job,-5.316965920201381,11,41
plumbing permit,-5.293431094846357,40,70
taking place,-5.270896261478732,146,163
safety plan,-5.25733678604158,101,125
activity ongoing,-5.237268878701393,14,43
imminent hazard,-5.236558666447956,2,51
completed unsafe,-5.236011292714058,15,44
admin lift,-5.205165359983672,2,50
story alt,-5.173175543355658,2,49
continue work,-5.121553779085451,22,50
close site,-5.071936853350247,1,80
faade work,-5.049798456574508,15,42
violation written,-5.033092225030815,20,47
partial swo,-5.015733563257029,31,58
violation condition,-4.99476166320127,51,77
rescind civil,-4.987212149669126,1,75
violation served,-4.958026243173278,357,320
public space,-4.956534469302712,14,40
dob permit,-4.923307569949878,26,52
action needed,-4.872654978453692,84,105
work warranting,-4.84217015415757,1,67
one story,-4.827670046634088,25,50
closed unsafe,-4.82675966356643,26,51
permitted civil,-4.8231037309900895,1,66
permit obtained,-4.819434827080937,93,112
reference dob,-4.724176608176362,1,61
inspection attempted,-4.724176608176362,1,61
debri observed,-4.6783515858264755,87,105
dismiss swo,-4.6616470272978034,1,58
floor tile,-4.656611004447542,14,37
access granted,-4.641914244751834,18,41
permit filed,-4.62040121809531,58,79
exp filed,-4.574026761647559,1,54
admin rescind,-4.551286370855999,1,53
required document,-4.536929484764196,48,69
close worker,-4.528185788514949,1,52
rescinded based,-4.504710630088758,1,51
demo work,-4.430554536103626,18,39
commissioner rescission,-4.41189866761552,0,205
letter rescind,-4.3686296837672085,0,201
executive order,-4.3178642302641155,20,40
demolition work,-4.280233529575087,50,68
transient use,-4.259446028044368,173,168
site time,-4.216858944116559,27,46
provided site,-4.207406962312987,22,41
property line,-4.162805527578238,77,90
per boro,-4.156964087057758,0,182
proposed story,-4.111384310823433,145,144
site permit,-4.095254792603676,21,39
dob approved,-4.093617090380911,58,73
letter issued,-4.087848767710119,0,176
upon inspecting,-4.076215745416774,0,175
interior work,-4.050620562325473,35,52
necessary observed,-4.0175459744305435,0,170
evidence construction,-3.9994579002792703,50,65
notification dispatch,-3.9819296615303523,0,167
plan permit,-3.9798039372580685,18,35
permit exp,-3.9572103783464705,80,90
lmp license,-3.9459922386470905,0,164
inspecting observed,-3.9459922386470905,0,164
amended plan,-3.9381038202279086,34,50
rescinded violating,-3.878772205678741,25,41
log book,-3.859697346088606,37,52
hour construction,-3.859200344080381,54,67
per dob,-3.8226644461564216,33,48
inspection conducted,-3.8140643648581984,32,47
rescind admin,-3.748517841380301,0,148
per qbco,-3.735829466584001,0,147
issued rescission,-3.6717305673727303,0,142
inspected ins,-3.6587761595240464,0,141
per dbc,-3.5933042858332804,0,136
observed time,-3.5813790319027046,639,485
viewing panel,-3.578969381887526,111,110
work conform,-3.5642540646071756,39,51
protection provided,-3.5440689391421154,27,40
inspection unsafe,-3.523026826721152,63,71
further action,-3.5125003700037163,23,36
warranted wire,-3.505904008361032,22,35
lifted rescind,-3.4723481639452176,0,127
installed per,-3.4564586279266227,30,42
valid till,-3.4172170552420016,0,123
permit expire,-3.405840380158336,283,234
see app,-3.403294848038463,0,122
work complete,-3.3894174566588013,34,45
site condition,-3.3630905839707244,47,56
verified violation,-3.3611825169590785,0,119
observed active,-3.352694312820148,241,203
rescinded new,-3.3328122504278297,0,117
dbc simon,-3.275335146817313,0,113
inspection permit,-3.2595959325810226,79,81
fully demolished,-3.246647988240849,32,42
lot line,-3.2432919327776277,21,32
building permit,-3.1744253727443983,42,50
stop work order fully,-3.158208685474558,34,43
objection lift,-3.1270271400056857,0,103
access rear,-3.1210140582186585,22,32
simon lee,-3.111807875199799,0,102
lee rescission,-3.111807875199799,0,102
new lmp,-3.096513858331354,0,101
back yard,-3.0901431562359263,37,45
recommend lift,-3.050172023347819,0,98
document provided,-3.039907059935692,34,42
access time,-3.023275546228903,33,41
commissioner letter,-3.0188825351514543,0,96
sst verified,-3.0188825351514543,0,96
inspection required,-2.999659711731859,23,32
job appear,-2.974773010758082,21,30
observed plumbing,-2.974773010758082,21,30
