block,term,b,se,p,n
recency_shares,white_bought_2015plus,0.23296755407037484,,,134963
recency_shares,asian_bought_2015plus,0.4870963268827807,,,129808
asian_gap,p_asian_baseline,0.31846367429579436,0.03622085007282538,0.0,459970
asian_gap,p_asian_+ recency,0.24209445175699254,0.03539810677379049,7.964073844846098e-12,459970
deed_recency,deed_2020p,0.653449801419477,0.01986064850477543,0.0,459970
deed_recency,deed_1519,0.2917891003609834,0.021007044589335624,0.0,459970
ledger_split,owner_occ_star_BIS-attributed,-0.24513950391503447,0.021424817363195826,0.0,765287
ledger_split,owner_occ_star_DOB NOW-attributed,-0.008703057998872889,0.01898587462359239,0.6466676238405347,750927
