finding,term,value,note
F6,slope_denominator_all_pluto_lots,-0.5137250636630106,"se=0.081, n=91900"
F6,slope_tracts_ge50_panel_lots,-0.31788565120751827,"se=0.085, n=83306"
F6,slope_deciles_1to9,-0.25401787324380515,se=0.103
F6,events_matched_to_panel_share_f6,0.49567685163233716,
F6,slope_building_controls,-0.2549810362744586,"se=0.122, n=71086 (panel-matched events only)"
F6,slope_panel_matched_no_controls,-0.4261469724476642,"se=0.094, same sample as controls row"
F6,slope_excluding_8A,0.04293559416818494,se=0.094
F6,no_access_d01,3.5108958837772395,
F6,no_access_d10,1.202212070209185,
F7,spearman_minlots_20,0.8240108050257023,"n=2087, pearson=0.612"
F7,spearman_minlots_50,0.8054454750352159,"n=1976, pearson=0.707"
F7,spearman_minlots_100,0.7786361451443238,"n=1824, pearson=0.739"
F7,spearman_minlots_200,0.7013048688351781,"n=1458, pearson=0.763"
F7,spearman_minlots_400,0.5422480270420742,"n=714, pearson=0.627"
F7,spearman_disc_vs_riskstock,0.8156979185881722,panel A vs top-decile RATE incl. swept (risk-stock map)
F7,spearman_unsweptrate_vs_riskstock,0.9990096986365338,panel B is nearly the risk-stock map
F7,spearman_disc_vs_panel_lots,-0.6734417411831375,
F7,partial_rank_corr_given_log_lots,0.626321510609785,
F7,map_top_decile_lots,76693,
F7,map_never_swept_top_decile,71440,
F7,map_never_swept_share,93.15061348493343,
