term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,scale,sample,n,label
llc,11.34656323788198,0.24045207795160384,47.18845989829924,0.0,10.875024502550284,11.818101973213677,tier1_lpm_any,any complaint (pp),pp,universe,760431,LLC owner (vs individual)
corp_other,7.1063127641493296,0.334637335851345,21.235863434276645,0.0,6.450071955226602,7.762553573072057,tier1_lpm_any,any complaint (pp),pp,universe,760431,Corporate/org owner (vs individual)
trust_estate,-4.685355377849063,0.16995405461430838,-27.568364805899748,0.0,-5.018643909435198,-4.352066846262927,tier1_lpm_any,any complaint (pp),pp,universe,760431,Trust/estate owner (vs individual)
nycha,12.232074375332228,1.88732684509129,6.481163772531707,1.1215783857210226e-10,8.530930591201457,15.933218159463,tier1_lpm_any,any complaint (pp),pp,universe,760431,NYCHA
govt,10.327977376267027,1.58766032363303,6.505155556595129,9.592882044273665e-11,7.2144948581707995,13.441459894363256,tier1_lpm_any,any complaint (pp),pp,universe,760431,Other government owner
owner_occ_star,-2.202525346970841,0.21786244615162537,-10.10970631183473,0.0,-2.6297646672119575,-1.7752860267297248,tier1_lpm_any,any complaint (pp),pp,universe,760431,Owner-occupied (STAR)
is_coop,-0.4862395148380605,0.6535286054469506,-0.7440217777545017,0.4569433384466699,-1.767842297150329,0.7953632674742079,tier1_lpm_any,any complaint (pp),pp,universe,760431,Co-op building
is_condo,-4.236406898056687,0.6846171331496645,-6.187994271435453,7.255147593809852e-10,-5.578975861909765,-2.8938379342036105,tier1_lpm_any,any complaint (pp),pp,universe,760431,Condominium
era_pre1940,1.746447572039953,0.37117942255154096,4.705130365348974,2.6957635868019025e-06,1.018545875443551,2.474349268636355,tier1_lpm_any,any complaint (pp),pp,universe,760431,Built before 1940 (vs 2000+)
era_4079,-2.051456864870922,0.3635656998208521,-5.642602879979554,1.89245046300357e-08,-2.7644276645577213,-1.3384860651841228,tier1_lpm_any,any complaint (pp),pp,universe,760431,Built 1940-1979 (vs 2000+)
era_8099,-4.2973744418842825,0.3627273592609174,-11.847395384347312,0.0,-5.008701213161028,-3.586047670607537,tier1_lpm_any,any complaint (pp),pp,universe,760431,Built 1980-1999 (vs 2000+)
era_unknown,13.50470525165496,2.4258007487128856,5.567112327267798,2.9081549612897106e-08,8.74758679811853,18.26182370519139,tier1_lpm_any,any complaint (pp),pp,universe,760431,Construction year unknown
mzone,3.6016661317681806,0.8402924750502353,4.286205385277146,1.8964734090909374e-05,1.9538099170521719,5.24952234648419,tier1_lpm_any,any complaint (pp),pp,universe,760431,Manufacturing zoning
multi_bldg,0.5155787491282039,0.18727470362645185,2.7530613539595015,0.005952936529220354,0.14832354526421815,0.8828339529921896,tier1_lpm_any,any complaint (pp),pp,universe,760431,Multiple buildings on lot
com_class,-2.815415206366062,0.6783630397359741,-4.150307492374364,3.4476338188538236e-05,-4.145719575443911,-1.4851108372882125,tier1_lpm_any,any complaint (pp),pp,universe,760431,Commercial/mixed building class (S/K/O)
log_bldgarea,7.216301003621194,0.750814827528003,9.61129261043003,0.0,5.743914999487357,8.68868700775503,tier1_lpm_any,any complaint (pp),pp,universe,760431,Log total floor area
log2_area_per_unit,-1.9514798658017818,0.5390458985389778,-3.620248055111902,0.00030101981442176573,-3.0085762462870718,-0.8943834853164918,tier1_lpm_any,any complaint (pp),pp,universe,760431,Floor area per unit (per doubling)
value_rank,-0.07693970369705365,0.4724566822907852,-0.16285028147765554,0.8706513838068841,-1.003451249632811,0.8495718422387036,tier1_lpm_any,any complaint (pp),pp,universe,760431,Assessed value rank within type (0-1)
any_prior_viol,11.6792931280566,0.17835766080871626,65.48243050004072,0.0,11.3295246979772,12.029061558135998,tier1_lpm_any,any complaint (pp),pp,universe,760431,Any violation 2010-2019
tract_poverty10,0.7072078796556052,0.2427728433520868,2.91304360854711,0.0036155954093619602,0.23111800552208306,1.1832977537891272,tier1_lpm_any,any complaint (pp),pp,universe,760431,Tract poverty rate (+10pp)
tract_renter10,0.03785199421926215,0.09213319585930682,0.41083991352112137,0.6812302286284533,-0.1428258815041038,0.21852986994262807,tier1_lpm_any,any complaint (pp),pp,universe,760431,Tract renter share (+10pp)
tract_foreign10,1.1129889326523006,0.16101303354151725,6.912415151567939,6.2310157034062286e-12,0.7972341974265635,1.4287436678780376,tier1_lpm_any,any complaint (pp),pp,universe,760431,Tract foreign-born share (+10pp)
tract_overcrowd10,0.32780875851459795,0.2942679184096861,1.113980621082233,0.2654100792407259,-0.2492655727936231,0.9048830898228191,tier1_lpm_any,any complaint (pp),pp,universe,760431,Tract overcrowding (+10pp)
tract_log_income_z,0.3734399771092202,0.25152533878590355,1.4847012190174982,0.1377672991266483,-0.11981398503309448,0.8666939392515349,tier1_lpm_any,any complaint (pp),pp,universe,760431,Tract log median income (+1 SD)
llc,11.318614399558244,0.23480357936787052,48.204607570420336,0.0,10.858154051989883,11.779074747126606,tract_lpm_any,any complaint (pp),pp,universe,766400,LLC owner (vs individual)
corp_other,6.880183643990098,0.3276437848687708,20.998974989700404,0.0,6.237659490544713,7.5227077974354835,tract_lpm_any,any complaint (pp),pp,universe,766400,Corporate/org owner (vs individual)
trust_estate,-4.269331865480717,0.163474853607078,-26.116138178305526,0.0,-4.589913383502082,-3.9487503474593515,tract_lpm_any,any complaint (pp),pp,universe,766400,Trust/estate owner (vs individual)
nycha,10.204666905286505,1.7963139602379703,5.680892723193345,1.5177749501660287e-08,6.682014683800588,13.727319126772421,tract_lpm_any,any complaint (pp),pp,universe,766400,NYCHA
govt,9.307219505534977,1.5086434646887807,6.1692637945142135,8.144624974448789e-10,6.348702024764464,12.265736986305491,tract_lpm_any,any complaint (pp),pp,universe,766400,Other government owner
owner_occ_star,-0.9891063700381197,0.1728318747791789,-5.7229395405324714,1.1902044683154145e-08,-1.3280374261402472,-0.6501753139359923,tract_lpm_any,any complaint (pp),pp,universe,766400,Owner-occupied (STAR)
is_coop,-1.754774062660583,0.646896187546529,-2.712605355298014,0.0067277384291153375,-3.02336649281108,-0.4861816325100856,tract_lpm_any,any complaint (pp),pp,universe,766400,Co-op building
is_condo,-5.361855433887422,0.6296530323109147,-8.51557152708161,0.0,-6.596633263449882,-4.127077604324962,tract_lpm_any,any complaint (pp),pp,universe,766400,Condominium
era_pre1940,1.1890625851145753,0.3113316243388298,3.819279803777625,0.00013755357122891,0.5785273098942522,1.7995978603348983,tract_lpm_any,any complaint (pp),pp,universe,766400,Built before 1940 (vs 2000+)
era_4079,-1.3703322974835288,0.3151440138798944,-4.348273288179229,1.4348231554661695e-05,-1.9883438395387552,-0.7523207554283025,tract_lpm_any,any complaint (pp),pp,universe,766400,Built 1940-1979 (vs 2000+)
era_8099,-4.196340694360328,0.3279864960508699,-12.79424837573034,0.0,-4.8395369198007385,-3.5531444689199168,tract_lpm_any,any complaint (pp),pp,universe,766400,Built 1980-1999 (vs 2000+)
era_unknown,13.695306303194062,2.4627129764895432,5.561064741988707,3.007423710066348e-08,8.865815729973885,18.52479687641424,tract_lpm_any,any complaint (pp),pp,universe,766400,Construction year unknown
mzone,0.2102360291861682,0.9154558479696105,0.22965174088127863,0.81838378531944,-1.5850139370809793,2.0054859954533155,tract_lpm_any,any complaint (pp),pp,universe,766400,Manufacturing zoning
