term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,n
p_black,0.3196479703818483,0.09310331942947367,3.43326072948434,0.00059636831265375,0.1371688174589516,0.502127123304745,citations_conversion,377242
p_hispanic,0.233986053618324,0.08128234592574562,2.8786823381313176,0.003993403546514118,0.07467558302493654,0.39329652421171146,citations_conversion,377242
p_asian,0.3492629046192186,0.06824158997411026,5.118035859828636,3.0873391221319935e-07,0.21551184602221282,0.48301396321622436,citations_conversion,377242
owner_occ_star,-0.2565340095456969,0.05286943429986041,-4.852217787894398,1.2208844404337782e-06,-0.3601561966564299,-0.15291182243496387,citations_conversion,377242
era_pre1940,0.436280546390298,0.09222002074396028,4.730865845298252,2.2356423345915033e-06,0.25553262707859914,0.6170284657019969,citations_conversion,377242
era_4079,0.398964213622446,0.09564696668708851,4.17121658366509,3.0297772010801083e-05,0.21149960368525014,0.5864288235596419,citations_conversion,377242
era_8099,0.1783886773690669,0.12259741366738157,1.4550770039329894,0.14564794467427045,-0.061897838016759604,0.4186751927548934,citations_conversion,377242
era_unknown,1.3786244301404047,0.7106227603334114,1.940022902578548,0.05237690658462846,-0.014170586707520583,2.7714194469883298,citations_conversion,377242
com_class,-0.755892854340021,0.18054546153037787,-4.186717560955346,2.8301764529503615e-05,-1.1097554565117234,-0.40203025216831845,citations_conversion,377242
log_bldgarea,1.106548664812814,0.25685770638112393,4.308022057827316,1.6472096136421754e-05,0.603116811154247,1.6099805184713811,citations_conversion,377242
mzone,0.37224713693549705,0.30396986536434234,1.2246185538468317,0.22071897392469575,-0.22352285156410323,0.9680171254350973,citations_conversion,377242
multi_bldg,-0.01660252953513157,0.043971653844195435,-0.3775734611656691,0.7057474826890036,-0.10278538741041686,0.06958032834015372,citations_conversion,377242
log2_area_per_unit,-0.7237852667785746,0.1732321547337304,-4.178123096668062,2.9392457328913935e-05,-1.063314051020956,-0.38425648253619304,citations_conversion,377242
value_rank,0.17501915093382678,0.1257668896214086,1.3916154836990913,0.16403886757221686,-0.07147942317175848,0.42151772503941204,citations_conversion,377242
any_prior_viol,0.5653468846672032,0.04281898442366724,13.203182940385673,0.0,0.4814232173422338,0.6492705519921725,citations_conversion,377242
geo_nyc_other,0.036407131237563645,0.040540843948630695,0.8980358495668004,0.3691664373570114,-0.043051462804611126,0.11586572527973842,citations_conversion,377242
geo_outside_nyc,0.19895159943660848,0.07904159723717731,2.517049330868422,0.011834225845426705,0.04403291557122027,0.35387028330199666,citations_conversion,377242
geo_unknown,-0.45491397773692765,0.04648594863673495,-9.786053443630006,0.0,-0.546024762852107,-0.3638031926217483,citations_conversion,377242
