bct2020,boroname,ntaname,panel_lots,scored_lots,n_disc_events,disc_per_1000,n_highrisk,n_hr_never_swept,hr_never_swept_per_1000,ok_a,ok_b,window
4002600,Queens,Richmond Hill,345.0,345.0,19.0,55.07246376811594,15.0,15.0,43.47826086956522,True,True,2020-01..2026-05
4002800,Queens,Richmond Hill,424.0,424.0,27.0,63.679245283018865,21.0,21.0,49.528301886792455,True,True,2020-01..2026-05
4003000,Queens,Woodhaven,253.0,253.0,7.0,27.66798418972332,4.0,4.0,15.810276679841897,True,True,2020-01..2026-05
4003100,Queens,Queensbridge-Ravenswood-Dutch Kills,150.0,150.0,149.0,993.3333333333333,44.0,35.0,233.33333333333334,False,False,2020-01..2026-05
4003200,Queens,Ozone Park (North),269.0,269.0,2.0,7.434944237918216,7.0,7.0,26.022304832713754,True,True,2020-01..2026-05
4003302,Queens,Queensbridge-Ravenswood-Dutch Kills,136.0,136.0,46.0,338.2352941176471,22.0,21.0,154.41176470588235,False,False,2020-01..2026-05
4004002,Queens,Ozone Park,161.0,161.0,23.0,142.85714285714286,8.0,8.0,49.689440993788814,False,False,2020-01..2026-05
4004300,Queens,Queensbridge-Ravenswood-Dutch Kills,16.0,16.0,24.0,1500.0,5.0,5.0,312.5,False,False,2020-01..2026-05
4004500,Queens,Queensbridge-Ravenswood-Dutch Kills,162.0,162.0,12.0,74.07407407407408,8.0,7.0,43.20987654320987,False,False,2020-01..2026-05
4004700,Queens,Queensbridge-Ravenswood-Dutch Kills,152.0,152.0,6.0,39.473684210526315,26.0,25.0,164.47368421052633,False,False,2020-01..2026-05
4005000,Queens,Ozone Park,,,,,,,,,,
4005100,Queens,Queensbridge-Ravenswood-Dutch Kills,168.0,168.0,76.0,452.3809523809524,32.0,26.0,154.76190476190476,False,False,2020-01..2026-05
4005300,Queens,Astoria (Central),482.0,482.0,36.0,74.68879668049793,68.0,65.0,134.85477178423236,True,True,2020-01..2026-05
4005500,Queens,Queensbridge-Ravenswood-Dutch Kills,100.0,100.0,61.0,610.0,24.0,20.0,200.0,False,False,2020-01..2026-05
4005700,Queens,Astoria (Central),264.0,264.0,47.0,178.03030303030303,53.0,51.0,193.1818181818182,True,True,2020-01..2026-05
4006300,Queens,Astoria (Central),515.0,515.0,79.0,153.3980582524272,124.0,118.0,229.126213592233,True,True,2020-01..2026-05
4006501,Queens,Astoria (Central),255.0,255.0,31.0,121.56862745098039,58.0,52.0,203.92156862745097,True,True,2020-01..2026-05
4006502,Queens,Astoria (Central),421.0,421.0,57.0,135.3919239904988,92.0,86.0,204.2755344418052,True,True,2020-01..2026-05
4006900,Queens,Astoria (Central),412.0,412.0,56.0,135.92233009708738,102.0,96.0,233.0097087378641,True,True,2020-01..2026-05
4007100,Queens,Astoria (Central),358.0,358.0,83.0,231.84357541899442,92.0,85.0,237.43016759776538,True,True,2020-01..2026-05
4007300,Queens,Astoria (Central),189.0,189.0,72.0,380.9523809523809,73.0,62.0,328.04232804232805,False,False,2020-01..2026-05
4007500,Queens,Astoria (Central),178.0,178.0,38.0,213.48314606741573,59.0,54.0,303.37078651685397,False,False,2020-01..2026-05
4007700,Queens,Old Astoria-Hallets Point,170.0,170.0,55.0,323.5294117647059,41.0,37.0,217.64705882352942,False,False,2020-01..2026-05
4007900,Queens,Old Astoria-Hallets Point,296.0,296.0,82.0,277.02702702702703,68.0,62.0,209.45945945945945,True,True,2020-01..2026-05
4008300,Queens,Old Astoria-Hallets Point,270.0,270.0,112.0,414.8148148148148,70.0,62.0,229.62962962962962,True,True,2020-01..2026-05
4008500,Queens,Queensbridge-Ravenswood-Dutch Kills,121.0,121.0,123.0,1016.5289256198347,19.0,17.0,140.49586776859505,False,False,2020-01..2026-05
4009400,Queens,South Ozone Park,456.0,456.0,16.0,35.08771929824561,27.0,27.0,59.21052631578947,True,True,2020-01..2026-05
4009500,Queens,Astoria (North)-Ditmars-Steinway,329.0,329.0,4.0,12.158054711246201,28.0,28.0,85.1063829787234,True,True,2020-01..2026-05
4009600,Queens,South Ozone Park,592.0,592.0,19.0,32.09459459459459,11.0,10.0,16.89189189189189,True,True,2020-01..2026-05
