word,z,n_asian,n_white
group,-1.0280379307578607,72,29
sell,-1.0280379307578607,72,29
owner,-1.0232554446555828,1687,569
elderly,-1.0220930437170106,34,15
block,-1.0186666726286313,300,108
current,-1.0097927253038013,53,22
resident,-1.0058624888938628,324,116
able,-0.9980532579634345,45,19
related,-0.9968255258521461,29,13
claim,-0.9968255258521461,29,13
hear,-0.9968255258521461,29,13
type,-0.9905853599286951,81,32
causing,-0.9816286420832719,138,52
phone,-0.9763984739976501,48,20
spot,-0.9656922029003203,40,17
staircase,-0.9626575574360111,32,14
anyone,-0.9388885145615908,54,22
leave,-0.932857404051982,119,45
construction,-0.9139932316730802,638,220
basementapartment,-0.9002534904549724,30,13
attached,-0.8907030635869836,143,53
gate,-0.8865688882915924,80,31
usually,-0.8839118862226005,41,17
lived,-0.8809434416455132,66,26
unsafe,-0.8798610097977895,228,82
set,-0.8691175786406836,69,27
along,-0.8688721829592286,55,22
given,-0.8633938990240622,44,18
often,-0.8544877478509263,58,23
leaving,-0.8479145180499246,75,29
ensure,-0.845531299882034,36,15
detector,-0.845531299882034,36,15
bill,-0.8449985837505998,47,19
park,-0.8406999806318888,150,55
electrical,-0.8251861263240365,209,75
fix,-0.823208200697277,39,16
middle,-0.8133926782128587,53,21
going,-0.8128230267879337,767,261
case,-0.8075629910900477,70,27
night,-0.8072948203186037,355,124
via,-0.8057769588346649,31,13
collect,-0.8057769588346649,31,13
i've,-0.8034654698223448,42,17
use,-0.8030288223068363,701,239
paying,-0.7889881452434608,76,29
lead,-0.7872416103773544,59,23
present,-0.7872416103773544,59,23
income,-0.7858830661755514,45,18
wood,-0.7858830661755514,45,18
picture,-0.7701295632981623,48,19
tax,-0.759703977072076,37,15
way,-0.7585375807417999,205,73
took,-0.7306042845341573,77,29
came,-0.716746303813101,83,31
fume,-0.7133210735835471,32,13
suppose,-0.7110425687232415,63,24
every,-0.7065269465814502,266,93
cellar,-0.6982339352636898,655,222
rear,-0.6765972800718424,154,55
code,-0.6679040225366226,169,60
regulation,-0.6667171676612451,81,30
storage,-0.6649984120831537,175,62
backyard,-0.6595906580390481,448,153
previously,-0.6470036805598536,64,24
shut,-0.6416201458165953,30,12
yet,-0.6416201458165953,30,12
hasbeen,-0.6416201458165953,30,12
filed,-0.6395917663671974,67,25
plate,-0.6345331482223874,158,56
