term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,sample,n
p_black,0.32779681436194263,1.099148912689048,0.2982278475443274,0.7655608635398261,-1.8278259434719986,2.4834195721958836,has_subject,all complaints,139302
p_hispanic,-0.49517574989756385,0.9214039966986363,-0.5374143716239176,0.5910423932242557,-2.3022097209211343,1.3118582211260064,has_subject,all complaints,139302
p_asian,-0.4181727171940817,0.7486465388355283,-0.5585716296031003,0.576517878430937,-1.8863991768276038,1.0500537424394405,has_subject,all complaints,139302
owner_occ_star,-1.7756247622590118,0.5847048095586591,-3.036788364370169,0.002422635299125897,-2.922332892112002,-0.6289166324060214,has_subject,all complaints,139302
era_pre1940,0.9534284123124482,0.8876223487372115,1.0741374568462103,0.2828932283966985,-0.7873538540493509,2.6942106786742475,has_subject,all complaints,139302
era_4079,0.6576969886483827,0.9518408274141654,0.6909737108410514,0.48966384409576436,-1.2090289169340998,2.524422894230865,has_subject,all complaints,139302
era_8099,-1.8480604726292718,1.447471706626088,-1.2767506709591694,0.20184145080507188,-4.686804992232543,0.9906840469739995,has_subject,all complaints,139302
era_unknown,15.512574204810146,4.785971039256634,3.241259522376798,0.0012099739121469444,6.126450112383013,24.89869829723728,has_subject,all complaints,139302
com_class,-1.0039897967789924,2.075319362529838,-0.48377604666836305,0.6285988322237792,-5.074053093933289,3.0660735003753037,has_subject,all complaints,139302
log_bldgarea,5.408654152250528,3.3234566933469147,1.627418272992057,0.10380894226202586,-1.1092241808383525,11.926532485339408,has_subject,all complaints,139302
mzone,0.646466782732663,2.445024803948232,0.26440090983483966,0.791498795000176,-4.148653377978747,5.441586943444073,has_subject,all complaints,139302
multi_bldg,-0.4732165813930931,0.48983067469981484,-0.9660819663511203,0.3341222913075532,-1.4338599825541412,0.4874268197679551,has_subject,all complaints,139302
log2_area_per_unit,-2.8382544761914126,2.3336352671032343,-1.216237394164242,0.22404087777368664,-7.414920323901479,1.7384113715186542,has_subject,all complaints,139302
value_rank,-1.810337627410805,1.3407543347474928,-1.3502381312470264,0.17709542190907124,-4.439790764543495,0.8191155097218845,has_subject,all complaints,139302
any_prior_viol,1.6663864844880043,0.4677205468890448,3.5627822971893375,0.00037570865171132617,0.7491049009453815,2.583668068030627,has_subject,all complaints,139302
geo_nyc_other,0.10684442752681418,0.45992438824048176,0.23230867998882498,0.8163225120065054,-0.7951475289120417,1.00883638396567,has_subject,all complaints,139302
geo_outside_nyc,1.27029112395532,0.8660391998346151,1.4667824784350452,0.1425955803815464,-0.4281628223553473,2.9687450702659874,has_subject,all complaints,139302
geo_unknown,-1.7098704628953654,0.5107945263618309,-3.347472172566208,0.0008309350702928597,-2.711627634186013,-0.7081132916047179,has_subject,all complaints,139302
multi_prop_owner,0.6894909980756361,0.5881287264598327,1.1723470850096727,0.2412001335118128,-0.4639320301026828,1.842914026253955,has_subject,all complaints,139302
p_black,-0.02601102399511829,0.01887153694529236,-1.3783203811392228,0.16826389920692675,-0.06302173106705465,0.010999683076818065,log_words,with subject,84652
p_hispanic,0.02671784363515397,0.017027926010132376,1.5690603552808287,0.1167975458092656,-0.006677188440430484,0.06011287571073842,log_words,with subject,84652
p_asian,-0.004256506100950875,0.0148305810461931,-0.28700872121551085,0.7741364036938632,-0.03334212283680391,0.02482911063490216,log_words,with subject,84652
owner_occ_star,-0.017947027393268443,0.010087502264259602,-1.7791349060565202,0.07537474805959188,-0.037730556020126815,0.001836501233589933,log_words,with subject,84652
era_pre1940,0.010366566861321215,0.015170917948336011,0.6833183658776725,0.49448758419067773,-0.019386515880480196,0.04011964960312263,log_words,with subject,84652
era_4079,0.0038934041119315825,0.016108823167700435,0.24169388858511962,0.8090430017396888,-0.02769909083226579,0.03548589905612896,log_words,with subject,84652
era_8099,0.05413737338955986,0.028546341323136017,1.8964732739912635,0.058046459626641234,-0.0018474825206343526,0.11012222929975407,log_words,with subject,84652
era_unknown,0.043730122400458774,0.08932933332577636,0.4895382151905108,0.6245162530499,-0.13146185047573095,0.21892209527664852,log_words,with subject,84652
com_class,-0.11366514104566662,0.04062991166075655,-2.797572930867409,0.005199835726785507,-0.19334819829713396,-0.033982083794199286,log_words,with subject,84652
log_bldgarea,0.14733124760100405,0.07320255313386145,2.0126517627272857,0.044289721517934755,0.0037669868410423746,0.2908955083609657,log_words,with subject,84652
mzone,-0.004984674194917528,0.042040576853388086,-0.11856816837459282,0.905629805010729,-0.08743431672093965,0.07746496833110458,log_words,with subject,84652
multi_bldg,0.004997293966334309,0.008480898747944806,0.5892410833869836,0.5557684172141939,-0.011635376715278494,0.021629964647947114,log_words,with subject,84652
log2_area_per_unit,-0.10592046241387627,0.05061887903188082,-2.092509048791171,0.03652312368161281,-0.20519380244917562,-0.006647122378576925,log_words,with subject,84652
value_rank,-0.03173975504612139,0.023405367558390264,-1.3560887248166051,0.17522932438842953,-0.07764217439467777,0.014162664302434978,log_words,with subject,84652
any_prior_viol,0.020782890182508396,0.008399844805130783,2.474199305422145,0.013438803678428313,0.004309181844196604,0.03725659852082019,log_words,with subject,84652
geo_nyc_other,0.0016080737156915139,0.008519647912047923,0.18874884646553083,0.8503094795952808,-0.01510059151612991,0.01831673894751294,log_words,with subject,84652
geo_outside_nyc,-0.02301993731692573,0.015936226397975244,-1.4445036573934777,0.14875941993438913,-0.05427393685905915,0.00823406222520769,log_words,with subject,84652
geo_unknown,-0.01954604541819139,0.009309449150982854,-2.099592049023416,0.035894091267814066,-0.03780366251249294,-0.0012884283238898397,log_words,with subject,84652
multi_prop_owner,-0.0022887824560931247,0.009978005218625376,-0.22938276799262283,0.8185956957552607,-0.021857566354265178,0.01728000144207893,log_words,with subject,84652
p_black,0.24037358895252753,0.5143168642901401,0.46736478160071815,0.6402915945378131,-0.7683005249567636,1.2490477028618188,hedge,with subject,84652
p_hispanic,0.21172492850602984,0.45508719006593173,0.4652403608094434,0.6418117448108183,-0.6807884228202625,1.1042382798323223,hedge,with subject,84652
p_asian,0.8999041522596275,0.3891892204899054,2.312253538591953,0.020868325757346984,0.1366293709387365,1.6631789335805185,hedge,with subject,84652
owner_occ_star,-0.031060076699841264,0.30637502961760654,-0.10137926951360245,0.9192599064557356,-0.6319203303296705,0.5698001769299881,hedge,with subject,84652
era_pre1940,-0.32731873690847757,0.41733911591084927,-0.7842992052017439,0.43296066430337876,-1.1458008676122229,0.49116339379526763,hedge,with subject,84652
era_4079,-0.4383179324461305,0.44978007512222923,-0.9745161172980287,0.32992227457385326,-1.3204230124616185,0.44378714756935755,hedge,with subject,84652
era_8099,-0.1657568638188876,0.6088614094197724,-0.27224071234346936,0.7854660152346986,-1.3598509822135674,1.0283372545757923,hedge,with subject,84652
era_unknown,1.2428622006868473,3.5591760107913113,0.3491994205733371,0.7269776360041722,-5.737365278120628,8.223089679494322,hedge,with subject,84652
com_class,-0.6024408651857073,1.0212822406396649,-0.589886753350746,0.5553355198347276,-2.605371413749985,1.4004896833785705,hedge,with subject,84652
log_bldgarea,-1.0578625031610853,1.7777481986825796,-0.5950575587392108,0.5518746478829639,-4.544368028378345,2.428643022056175,hedge,with subject,84652
mzone,-0.5500064482186029,1.138091826297753,-0.4832707128806912,0.6289582648350907,-2.7820230203811978,1.682010123943992,hedge,with subject,84652
multi_bldg,-0.057071817067383776,0.23014861221250757,-0.24797810648837001,0.8041776851451694,-0.5084374315535245,0.3942937974187569,hedge,with subject,84652
log2_area_per_unit,0.6197689171430247,1.2070527192425382,0.5134563778887374,0.607690797494858,-1.7474932057978436,2.987031040083893,hedge,with subject,84652
value_rank,0.30909358159802997,0.6659523214995791,0.46413770418581735,0.6426013548198548,-0.9969667761962708,1.6151539393923309,hedge,with subject,84652
any_prior_viol,-0.3400018036349851,0.214207223399121,-1.5872564810827026,0.11261811808861899,-0.7601032940912453,0.08009968682127505,hedge,with subject,84652
geo_nyc_other,0.30243156572962854,0.23946700059765477,1.262936291743032,0.206764396058849,-0.16720919740524215,0.7720723288644993,hedge,with subject,84652
geo_outside_nyc,-0.2810635557341279,0.4185187494087303,-0.6715674175439101,0.5019393740668345,-1.1018591742035428,0.5397320627352871,hedge,with subject,84652
geo_unknown,0.06046944204154211,0.25566090269200004,0.23652205481880384,0.813052655550643,-0.4409306721468707,0.5618695562299549,hedge,with subject,84652
multi_prop_owner,0.2874463011500094,0.2770418254600861,1.0375556133903048,0.29960676179449797,-0.2558859074826097,0.8307785097826286,hedge,with subject,84652
p_black,0.6445513344213515,0.42788179622835415,1.5063770884923648,0.13213379106992162,-0.19460701646071776,1.4837096853034208,people_watch,with subject,84652
p_hispanic,1.1054816910279541,0.40127868950827944,2.7548975809869045,0.005926085254441604,0.3184971399203522,1.892466242135556,people_watch,with subject,84652
p_asian,1.7298445511169305,0.29974622240961846,5.77103036432269,9.15634035258961e-09,1.1419846610781752,2.3177044411556857,people_watch,with subject,84652
