term,term_label,component,points,ci_lo,ci_hi,share_of_total,n,outcome,fe
tract_overcrowd10,Tract overcrowded-household share (+10 pp),via_history,0.1461112888276151,,,0.082327070489799,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_black10,Tract Black share (+10 pp),total,-0.2344599408997116,-0.33397583724162794,-0.13494404455779527,1.0,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_black10,Tract Black share (+10 pp),direct,-0.23186395663445988,-0.3239170930694404,-0.1398108201994794,0.9889278131893665,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_black10,Tract Black share (+10 pp),via_era,-0.04184121053189689,,,0.1784578225659203,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_black10,Tract Black share (+10 pp),via_value,-0.0009131449005289553,,,0.0038946734227811902,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_black10,Tract Black share (+10 pp),via_ownership,0.07048493587557252,,,-0.30062677489849704,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_black10,Tract Black share (+10 pp),via_use_size,-0.020474172619699128,,,0.08732482206184977,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_black10,Tract Black share (+10 pp),via_history,-0.009852392088671542,,,0.04202164365846115,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_hispanic10,Tract Hispanic share (+10 pp),total,0.6627744426037514,0.5174282917646207,0.8081205934428821,1.0,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_hispanic10,Tract Hispanic share (+10 pp),direct,0.32218939357644466,0.17908271178216378,0.46529607537072554,0.4861222353576327,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_hispanic10,Tract Hispanic share (+10 pp),via_era,0.15222050932715803,,,0.22967166435861666,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_hispanic10,Tract Hispanic share (+10 pp),via_value,0.02788305440184946,,,0.04207020157915129,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_hispanic10,Tract Hispanic share (+10 pp),via_ownership,0.11348802030031852,,,0.17123173889215407,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_hispanic10,Tract Hispanic share (+10 pp),via_use_size,-0.014540447522485822,,,-0.021938757121295675,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_hispanic10,Tract Hispanic share (+10 pp),via_history,0.061533912520478275,,,0.09284291693375864,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_asian10,Tract Asian share (+10 pp),total,0.745837657675078,0.5534979413609482,0.9381773739892079,1.0,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_asian10,Tract Asian share (+10 pp),direct,0.8185886443747937,0.6435236607742421,0.9936536279753454,1.0975426568383457,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_asian10,Tract Asian share (+10 pp),via_era,-0.04266279325996467,,,-0.05720117886371271,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_asian10,Tract Asian share (+10 pp),via_value,-0.0017278002070875748,,,-0.002316590198024415,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_asian10,Tract Asian share (+10 pp),via_ownership,-0.051630170222621584,,,-0.06922440787391043,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_asian10,Tract Asian share (+10 pp),via_use_size,0.0007571817811916214,,,0.001015209909823949,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_asian10,Tract Asian share (+10 pp),via_history,0.02251259520878543,,,0.030184310187503265,760431,any caller complaint (pp),size_bin + comm_bin + borocode
