variable,quintile,range_lo,range_hi,n_lots,caller_per100_yr,agency_per100_yr,ecb_per100_yr,dobviol_per100_yr,any_caller_share,hit_rate,noaccess_rate,n_caller_complaints
poverty,1,0.0,0.056325232795821,152087,6.044216489553698,2.823366905767111,3.347031633209939,5.882928081406583,0.15197222642303418,0.23141864814320065,0.2806349938499385,52032
poverty,2,0.056325232795821,0.0911513859275053,152086,7.3042405433289534,2.9784242032575214,3.815630630038268,6.545442248925805,0.17275094354509948,0.24439928049150839,0.3063760836101434,61715
poverty,3,0.0911513859275053,0.1285869960043588,152086,8.733302125198815,3.1394062586940295,4.618018752547901,6.971721911953097,0.20863195823415698,0.26728575546678746,0.3553585176139531,75338
poverty,4,0.1285869960043588,0.1953793496862521,152086,10.143406558592703,3.875763388144541,5.981142248464685,9.236127679639901,0.21869863103770235,0.28170437888565025,0.3059670950315135,85519
poverty,5,0.1953793496862521,0.7699115044247787,152086,14.45713131206865,6.15215827135399,10.237996922793682,16.46904835627006,0.26464631853030524,0.3140309251172014,0.2528710039307705,116771
income,1,11612.0,66161.0,152087,14.063857332512772,5.6922306687243855,9.677197919611801,15.607778835405128,0.25205310118550567,0.3221933422357879,0.25317661724767376,112305
income,2,66161.0,83351.0,152086,9.652775061819945,3.2915758018660326,5.2377733650697635,8.01631202851565,0.22077640282471758,0.2852673806632071,0.3374381233387793,82018
income,3,83351.0,98603.0,152086,7.202794181214285,2.614856836810205,3.869494891048485,5.75375074014002,0.18226529726602053,0.2711768469754393,0.3468882602545969,62216
income,4,98603.0,117832.0,152086,6.246944013733856,2.130578546553718,3.0350196599292505,4.038692393965069,0.16235550938284918,0.26121040161464887,0.36614443311393347,53935
income,5,117832.0,250001.0,152086,9.515873708501562,5.239858309831877,6.180292729113791,11.688670337066638,0.19924910905671792,0.2204476941825412,0.22913190195424038,80901
foreign_born,1,0.0144555091551557,0.2242676167854315,152087,9.479946500204642,4.900851776653127,6.1756231630579865,11.71882224963685,0.1890957149526258,0.24096918464638523,0.2209189534141672,78350
foreign_born,2,0.2242676167854315,0.3280851535646967,152086,10.624815658809583,4.734061094278339,6.928395776074065,11.937060217638312,0.20700787712215457,0.26573101170819574,0.24464550948444957,88197
foreign_born,3,0.3280851535646967,0.4166666666666667,152086,8.914675924131101,3.5608697812976966,5.525294898938759,8.268800752001045,0.19493576003050905,0.29268521647703805,0.28976424151909536,74992
foreign_born,4,0.4166666666666667,0.5196153846153846,152086,8.545882532968786,3.031914103281619,4.884815170364136,6.6735310899796785,0.19439659140223295,0.3001810893849065,0.31813199772465556,72077
foreign_born,5,0.5196153846153846,0.8442541982219295,152086,9.116953821923378,2.7414086117714325,4.4856725799876385,6.507015596609642,0.23126389016740528,0.29711663614904366,0.4170578325338546,77759
black,1,0.0,0.0052784375824755,152087,5.680753984027768,2.181287385150963,2.846896841939153,4.696115919297388,0.15602911491448973,0.24875872038212557,0.3536842960435454,49236
black,2,0.0052784375824755,0.0259829059829059,152086,8.957201419360986,3.871049718793758,5.109319726996568,8.846635131763282,0.20036689767631471,0.24840204391860954,0.2848966655316028,76354
black,3,0.0259829059829059,0.0998896247240618,152086,11.20531428646574,4.690510888320023,6.536933051036914,11.260341252582485,0.2322633246978683,0.24858486327832519,0.2990805273322697,95272
black,4,0.0998896247240618,0.4688448074679113,152086,13.561636606492804,5.326856250675668,8.915482029904133,13.485910483661756,0.25265967939192296,0.30853239782320346,0.27128932891301794,110701
