term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,n,pct_change
p_black,0.028665445591316886,0.08971063342052434,0.31953230624229095,0.7493228974944972,-0.14716416494318615,0.20449505612581995,ppml_fully_cold,414887,2.908025354224275
p_hispanic,-0.005693177840854141,0.0789062702189001,-0.07215114622779975,0.942481623449396,-0.16034662562428378,0.14896026994257552,ppml_fully_cold,414887,-0.5677002414973598
p_asian,0.3235295079428091,0.058563573245744835,5.524415434577609,3.305844131773483e-08,0.20874701357517572,0.4383120023104425,ppml_fully_cold,414887,38.19969355529089
owner_occ_star,-0.0014855429339935792,0.052871636076247244,-0.028097162188271383,0.9775846574270546,-0.10511204544714682,0.10214095957915965,ppml_fully_cold,414887,-0.1484440061278347
era_pre1940,-0.47756032822409344,0.0658351728541082,-7.2538782465472496,4.050093593832571e-13,-0.6065948959341145,-0.3485257605140723,ppml_fully_cold,414887,-37.97051368201342
era_4079,-0.7717936191521589,0.07764200595621455,-9.940413177725011,0.0,-0.9239691545137838,-0.6196180837905341,ppml_fully_cold,414887,-53.781665646822695
era_8099,-1.3535121526577647,0.23777974104339536,-5.692293829232263,1.2534390636531612e-08,-1.8195518813560803,-0.8874724239594491,ppml_fully_cold,414887,-74.16686337024012
era_unknown,1.337579641820784,0.2743644456025882,4.875193062581597,1.0870209130597885e-06,0.7998352098014121,1.8753240738401558,ppml_fully_cold,414887,280.98112293956615
com_class,0.09339786541349772,0.23039847168448535,0.405375368728138,0.6852016135803587,-0.3581748411811651,0.5449705720081606,ppml_fully_cold,414887,9.789846420909164
log_bldgarea,0.6553036465533099,0.4040595118172919,1.6217998274710232,0.10484621540522743,-0.13663844421941873,1.4472457373260386,ppml_fully_cold,414887,92.57271690256313
mzone,-0.2898772017295113,0.1931296231689497,-1.5009463435649482,0.1333694401929182,-0.6684043074884451,0.08864990402942252,ppml_fully_cold,414887,-25.1644541307547
multi_bldg,0.11544698769785541,0.04711980815972393,2.450073381167429,0.014282710355790984,0.023093860746359926,0.2078001146493509,ppml_fully_cold,414887,12.237501328781985
log2_area_per_unit,0.2509620588931555,0.2827790905191796,0.8874844969350161,0.37481810921549785,-0.30327477410542847,0.8051988918917394,ppml_fully_cold,414887,28.52613191690654
value_rank,-0.3248691457070667,0.1911736773808122,-1.6993403598129107,0.08925507220539153,-0.6995626681655382,0.049824376751404886,ppml_fully_cold,414887,-27.737809436580985
any_prior_viol,0.15756303835682223,0.05237521213089687,3.0083513163257165,0.002626692966817945,0.054909508897619,0.2602165678160254,ppml_fully_cold,414887,17.06545517951006
geo_nyc_other,0.041225306352720904,0.03681618623176734,1.1197603709737076,0.26281589089311574,-0.03093309270966251,0.11338370541510431,ppml_fully_cold,414887,4.208686788918525
geo_outside_nyc,0.12147982351035704,0.07100191348652282,1.7109373190824728,0.0870926844850155,-0.017681369756656476,0.26064101677737056,ppml_fully_cold,414887,12.916658307745088
geo_unknown,-0.47866723234813896,0.04003548463269634,-11.95607438600154,0.0,-0.5571353403318307,-0.4001991243644473,ppml_fully_cold,414887,-38.03913638984548
multi_prop_owner,0.1923869736112452,0.048622748045438764,3.9567276911509897,7.598346287696067e-05,0.0970881386128199,0.2876858086096705,ppml_fully_cold,414887,21.21394922151605
p_black,0.04832528088840105,0.06202948273521554,0.7790695449563325,0.4359387490781612,-0.07325027125227052,0.1699008330290726,ppml_cold_with311,452551,4.951198599848161
p_hispanic,0.07744371060161583,0.04956847666034698,1.5623580916612683,0.11820365394357557,-0.019708718421178537,0.17459613962441017,ppml_cold_with311,452551,8.052140884666837
p_asian,0.2587300710707682,0.03917226606960675,6.6049298912404115,3.977063123272728e-11,0.18195384038151857,0.3355063017600178,ppml_cold_with311,452551,29.528412297918138
owner_occ_star,-0.05190573600686111,0.0324067610121542,-1.6016946583274334,0.10922314696578672,-0.11542182044628013,0.01161034843255792,ppml_cold_with311,452551,-5.058164140946131
era_pre1940,-0.07443431116700315,0.047883606159540314,-1.5544842407858808,0.12006895287602903,-0.1682844546896025,0.019415832355596185,ppml_cold_with311,452551,-7.173155107260465
era_4079,-0.41581044509007997,0.05631775653210412,-7.3832920679829614,1.5432100042289676e-13,-0.5261912195830994,-0.3054296705970605,ppml_cold_with311,452551,-34.01946720291075
era_8099,-0.9596202741466636,0.11943435804341304,-8.034708687410138,8.881784197001252e-16,-1.193707314428415,-0.7255332338649123,ppml_cold_with311,452551,-61.69616920885376
era_unknown,1.3598485732747236,0.21102238432030498,6.444096334399518,1.1629119889278172e-10,0.9462523000751559,1.7734448464742913,ppml_cold_with311,452551,289.5603358670185
com_class,0.3914388164675561,0.11494318258049001,3.40549833125986,0.0006604341716012208,0.16615431834138394,0.6167233145937283,ppml_cold_with311,452551,47.910742772216096
log_bldgarea,0.6452030744218283,0.18166687289882832,3.551572524623941,0.00038293644247189285,0.28914254635610914,1.0012636024875476,ppml_cold_with311,452551,90.63741257892748
mzone,0.11833770835289893,0.14695850615656647,0.8052457217197381,0.4206778969017977,-0.16969567093577925,0.4063710876415771,ppml_cold_with311,452551,12.562417987534413
multi_bldg,0.05819618404279576,0.0315815895371375,1.8427249829956012,0.06536917446110202,-0.003702594024520757,0.12009496211011228,ppml_cold_with311,452551,5.992291527694094
log2_area_per_unit,0.13678768130406407,0.12892788032865676,1.0609627720192987,0.2887068200240055,-0.11590632074319332,0.3894816833513215,ppml_cold_with311,452551,14.658468131067659
value_rank,-0.12579388980369996,0.11038818647812308,-1.1395593479437223,0.2544699297501476,-0.34215075961951263,0.09056298001211271,ppml_cold_with311,452551,-11.820342468004352
any_prior_viol,0.3782897407992436,0.034181383338981235,11.067127887941075,0.0,0.3112954605130829,0.4452840210854043,ppml_cold_with311,452551,45.97858411237317
geo_nyc_other,0.06051061565702254,0.0258703740034496,2.338992689048637,0.01933581186583,0.00980561434368002,0.11121561697036506,ppml_cold_with311,452551,6.237887536023301
geo_outside_nyc,0.11705764399390463,0.055556869712444897,2.106987751465835,0.035118641305756926,0.008168180263728453,0.2259471077240808,ppml_cold_with311,452551,12.418423029175486
geo_unknown,-0.42303498252089,0.02926525927644423,-14.455193392439657,0.0,-0.48039383670094743,-0.3656761283408326,ppml_cold_with311,452551,-34.49442827893308
multi_prop_owner,0.18833591884959547,0.03240961949232746,5.811111694606025,6.205933766878502e-09,0.12481423189198633,0.2518576058072046,ppml_cold_with311,452551,20.723898157379583
