word,z,n_asian,n_white
multiple tenant,0.3932608311018686,26,7
week ago,0.3932608311018686,26,7
currently occupied,0.3932608311018686,26,7
dining room,0.3932608311018686,26,7
year ago,0.40910841387049374,135,40
home family,0.41169538795246946,33,9
two year,0.4267675735311688,50,14
residential unit,0.4308736499548926,40,11
building department,0.4592881938020847,37,10
inthe basement,0.4592881938020847,37,10
full kitchen,0.4721051766315961,84,24
unsafe living,0.48204073531588115,27,7
basement rental,0.48204073531588115,27,7
property located,0.48204073531588115,27,7
emergency exit,0.49106443455486365,34,9
home owner,0.49141172482513346,91,26
renting basement,0.49202540878411943,51,14
basement one,0.49202540878411943,51,14
illegally renting,0.5190317515131003,118,34
landlord renting,0.5252240438290849,65,18
basement but,0.5260368780621496,24,6
parking spot,0.5260368780621496,24,6
rental space,0.5270033365707777,31,8
conversion basement,0.5647431653247231,237,70
garage converted,0.5682028102033863,28,7
large amount,0.5682028102033863,28,7
family converted,0.5685797558981677,35,9
two separate,0.5743223549804122,42,11
currently living,0.5743223549804122,42,11
house next,0.5743223549804122,42,11
one way,0.5830004370064891,49,13
residential property,0.5914198648418408,123,35
illegal alteration,0.6074536446296451,32,8
legal two,0.6074536446296451,32,8
converted illegal,0.6074536446296451,32,8
back entrance,0.6162133967882688,25,6
individual room,0.6162133967882688,25,6
loud noise,0.6162133967882688,25,6
different room,0.6162133967882688,25,6
originally two,0.6162133967882688,25,6
people come,0.628667305484865,60,16
construction work,0.6439970407123758,43,11
home illegally,0.6439970407123758,43,11
mechanic shop,0.6443223482650876,36,9
illegal construction,0.661032259709604,81,22
gas line,0.6613052315423541,128,36
basement illegal,0.6726015531097925,88,24
proper permit,0.6786566564496525,47,12
safety issue,0.7034667870720115,26,6
neighbor using,0.7123704034996325,44,11
back door,0.7143389280261402,58,15
need inspected,0.7332388166814698,30,7
legal family,0.744070251166785,48,12
converted illegally,0.7495240161203813,41,10
illegal converted,0.7556201183152902,76,20
residential space,0.7838719101998556,231,66
several people,0.7879750157146077,27,6
illegal class,0.7879750157146077,27,6
full bathroom,0.8136302454533644,108,29
converted living,0.8184578019380341,42,10
illegal kitchen,0.8309319128939955,67,17
living condition,0.8319751020111708,60,15
family property,0.8370342575929334,35,8
converted three,0.8370342575929334,35,8
small children,0.8699011181546535,28,6
house located,0.8699011181546535,28,6
