outcome,outcome_label,spec,entry,sample,term,term_label,estimate,std_error,ci_lo,ci_hi,pct_change,pct_lo,pct_hi,p,n,fe,cluster,window
n_hpd_complaints,HPD complaints,total,bivariate,all lots,tract_poverty10,Tract poverty rate (+10 pp),0.16667308709760484,0.016650065042857046,0.13403955927335567,0.199306614921854,18.136799773293898,14.34380523284322,22.055614926016396,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,direct,bivariate,all lots,tract_poverty10,Tract poverty rate (+10 pp),0.15481331792121383,0.014899728660509036,0.1256103863671969,0.18401624947523076,16.744000063492457,13.38403225669631,20.20353553813401,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,3+ units,tract_poverty10,Tract poverty rate (+10 pp),0.16076050792414362,0.017379141719944046,0.1266980160708358,0.19482299977745143,17.440367475740626,13.507419185578229,21.509589521081995,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,all lots,tract_log_income_z,Tract log median income (+1 SD),-0.23017840998042377,0.014892746210935991,-0.25936765618475366,-0.20098916377609388,-20.560813757683615,-22.8460690306574,-18.207870531587535,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,direct,bivariate,all lots,tract_log_income_z,Tract log median income (+1 SD),-0.21562351888478817,0.014238935833872955,-0.24353132029735597,-0.18771571747222038,-19.396129689267163,-21.6145074921534,-17.114969859772554,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,3+ units,tract_log_income_z,Tract log median income (+1 SD),-0.228831586996898,0.015317466549875484,-0.258853269769051,-0.19880990422474507,-20.45375115485649,-22.80637188768847,-18.02942988860099,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,all lots,tract_renter10,Tract renter share (+10 pp),0.1620656158869108,0.011611400582865042,0.1393076889344279,0.18482354283939367,17.593739896497308,14.947772717425444,20.30061423494438,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,direct,bivariate,all lots,tract_renter10,Tract renter share (+10 pp),0.10981190380148362,0.010132541370511273,0.0899524876434194,0.12967131995954784,11.606812254315212,9.412229814146977,13.845413467292289,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,3+ units,tract_renter10,Tract renter share (+10 pp),0.17247214428294125,0.01247365067200153,0.1480242382100844,0.1969200503557981,18.823872091237458,15.954100122075587,21.764668639489805,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,all lots,tract_foreign10,Tract foreign-born share (+10 pp),0.12483318343034668,0.01410493419148244,0.0971880204107335,0.15247834644995986,13.29594408945971,10.206756533855543,16.471724155848545,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,direct,bivariate,all lots,tract_foreign10,Tract foreign-born share (+10 pp),0.07541981141450838,0.013023245755152738,0.04989471877259487,0.10094490405642188,7.833675395201034,5.116042309067392,10.621569208704251,6.989838041704388e-09,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,3+ units,tract_foreign10,Tract foreign-born share (+10 pp),0.1280509954292235,0.014991374341118358,0.09866844164187362,0.15743354921657338,13.66109631831154,10.370029782815692,17.050297455767517,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,all lots,tract_overcrowd10,Tract overcrowded-household share (+10 pp),0.12733951103997382,0.02635340805793146,0.0756877803765405,0.17899124170340713,13.580256983988415,7.862575345240663,19.60102691093468,1.351722931142163e-06,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,direct,bivariate,all lots,tract_overcrowd10,Tract overcrowded-household share (+10 pp),0.06748580256860659,0.02369040873163356,0.021053454675571584,0.1139181504616416,6.981507086400951,2.1276642190032558,12.06603955941683,0.004390445378634755,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,3+ units,tract_overcrowd10,Tract overcrowded-household share (+10 pp),0.13118301411265762,0.027784686225454085,0.07672602978902146,0.18563999843629378,14.017643059624474,7.974621756716838,20.398874451840676,2.342103450736488e-06,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,all lots,tract_black10,Tract Black share (+10 pp),0.16083925243701117,0.0070970363933824665,0.1469293167090115,0.17474918816501084,17.449615624384208,15.827208965319262,19.0947475428324,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,direct,bivariate,all lots,tract_black10,Tract Black share (+10 pp),0.1452264869548864,0.006585870308691557,0.13231841834299926,0.15813455556677355,15.630142780255829,14.147172694220323,17.13237922413593,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,3+ units,tract_black10,Tract Black share (+10 pp),0.1610647229812255,0.007975613000244925,0.145432808746116,0.17669663721633502,17.476100038752264,15.654002259715005,19.32690447948302,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,all lots,tract_hispanic10,Tract Hispanic share (+10 pp),0.10272728435477382,0.009388107802504334,0.08432693117888586,0.12112763753066179,10.818914734377838,8.79845317366652,12.876897645799868,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,direct,bivariate,all lots,tract_hispanic10,Tract Hispanic share (+10 pp),0.07442403841806741,0.00838994919121781,0.05798004017115954,0.09086803666497528,7.726350977382324,5.969384419144452,9.512447944404624,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,3+ units,tract_hispanic10,Tract Hispanic share (+10 pp),0.10794521534826959,0.009545866401529147,0.08923566100004149,0.1266547696964977,11.39867143405231,9.333828316203263,13.502510507380006,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,all lots,tract_asian10,Tract Asian share (+10 pp),-0.15542399318405387,0.01705821765456643,-0.1888574854274494,-0.12199050094065834,-14.394785974626567,-17.209551325836337,-11.484322338055975,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,direct,bivariate,all lots,tract_asian10,Tract Asian share (+10 pp),-0.12780861696652884,0.013340127209674408,-0.1539547858466735,-0.1016624480863842,-11.9978215732218,-14.26892172836598,-9.666557752593864,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_complaints,HPD complaints,total,bivariate,3+ units,tract_asian10,Tract Asian share (+10 pp),-0.15172760777802158,0.01926051535747666,-0.18947752420235645,-0.11397769135368671,-14.07777056621372,-17.2608687031803,-10.772213882840443,3.3306690738754696e-15,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,all lots,tract_poverty10,Tract poverty rate (+10 pp),0.20962142140589698,0.015607415405182786,0.1790314493199831,0.24021139349181087,23.321110424652435,19.605835879844747,27.151791252454217,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,direct,bivariate,all lots,tract_poverty10,Tract poverty rate (+10 pp),0.2032673360710573,0.014277471208136217,0.17528400671280273,0.23125066542931186,22.540001808891397,19.158458658187392,26.017508219013475,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,3+ units,tract_poverty10,Tract poverty rate (+10 pp),0.2022354856783001,0.016048371514859824,0.17078125549865633,0.23368971585794387,22.413624072567885,18.623123907868933,26.325246418383387,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,all lots,tract_log_income_z,Tract log median income (+1 SD),-0.2635180030316912,0.013775575305732804,-0.2905176344972469,-0.23651837156613556,-23.16562102028834,-25.212365922742364,-21.062861981976056,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,direct,bivariate,all lots,tract_log_income_z,Tract log median income (+1 SD),-0.2580116684261475,0.013286640634544046,-0.2840530055453802,-0.23197033130691475,-22.741378281088465,-24.72732550428871,-20.70303506691593,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,3+ units,tract_log_income_z,Tract log median income (+1 SD),-0.2597207100197425,0.014106554533358314,-0.28736904885107506,-0.23207237118840998,-22.873303713933012,-24.976519555172093,-20.711126107009225,0.0,170729,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
n_hpd_violations,HPD violations,total,bivariate,all lots,tract_renter10,Tract renter share (+10 pp),0.18047157124535748,0.011001686992290165,0.15890866097128598,0.202034481519429,19.778206954389166,17.22308713614955,22.389020897779876,0.0,760431,size_bin + comm_bin + borocode,bct2020,2020-01-01..2026-05-31
