part,outcome,outcome_label,exposure_offset,spec,term,term_label,b,se,t,p,ci_lo,ci_hi,per_10pp,per_10pp_lo,per_10pp_hi,per_10pp_unit,n_obs,n_clusters,cluster,fe,controls,window,outcome_total,baseline,note
allocation,n_disc_constr,"discretionary construction (8A/1X/91..., excl 7G)",log active job-months 2020-26,unit-elasticity offset (superseded as headline),log_mean_units,log_mean_units,-0.25717566733257397,0.04122887699773991,-6.237755817280006,4.438929224193089e-10,-0.3379827813711761,-0.17636855329397186,,,,,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,67931,0.01319639434667251,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),pct_black,Black share,-0.2234115724073787,0.17135619382986622,-1.303784633715642,0.1923070232938957,-0.5592635408417812,0.11244039602702383,-2.2093441766791178,-5.439122644976246,1.130749141120857,pct_change_in_count,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),pct_hispanic,Hispanic share,-0.40115499083809486,0.1797960360747785,-2.23116704681549,0.025670065907049455,-0.7535487461077252,-0.04876123556846457,-3.932152473939543,-7.258568786881758,-0.4864254565767778,pct_change_in_count,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),pct_asian,Asian share,-0.03378084411243369,0.22063683573370182,-0.15310609400329492,0.8783146102214618,-0.4662210958133694,0.398659407588502,-0.3372385103485698,-4.555199379253294,4.0671253242064775,pct_change_in_count,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),poverty,poverty rate,0.7250101655507356,0.33414540787026,2.169744513838234,0.03002620585098814,0.07009720052557922,1.379923130575892,7.519389908341267,0.7034345646043993,14.7966725886151,pct_change_in_count,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),renter,renter share,0.016314211901774796,0.20588110120011127,0.07924093958443418,0.9368409818720482,-0.3872053315478895,0.4198337553514391,0.16327526817034865,-3.798047585637865,4.287714133226572,pct_change_in_count,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),era_pre1940,era_pre1940,0.2770094525543569,0.15900925776549812,1.74209638134958,0.0814915806955272,-0.034642965874465415,0.5886618709831792,,,,,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),era_1980plus,era_1980plus,0.9531076664422501,0.17054696452598753,5.5885349181750925,2.289933354049367e-08,0.6188417582986843,1.287373574585816,,,,,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),era_missing,era_missing,1.1605341859842926,0.5272115699829274,2.2012684319918736,0.027717026284128865,0.12721849658493634,2.193849875383649,,,,,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),mean_log_ba,mean_log_ba,0.4297814215724202,0.07242530567176601,5.934133347261308,2.9540168089425833e-09,0.2878304308864543,0.5717324122583861,,,,,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),com_share,com_share,2.7830415672206525,0.31632270229308607,8.798108852275957,0.0,2.163060463233818,3.403022671207487,,,,,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_7g,7G area sweeps,log residential units,unit-elasticity offset (superseded as headline),log_mean_units,log_mean_units,-0.6630955841843952,0.07618598586025031,-8.703642496675524,0.0,-0.8124173725971636,-0.5137737957716267,,,,,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,23229,0.006214086225161311,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_stat,statutory periodic (contrast),log residential units,unit-elasticity offset (superseded as headline),pct_black,Black share,-0.42155060786111226,0.1152694312440403,-3.657089336795938,0.0002550954914142256,-0.6474745416178473,-0.1956266741043772,-4.127889100260573,-6.269585424927748,-1.9372560119197635,pct_change_in_count,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,64024,0.017127326035547282,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_stat,statutory periodic (contrast),log residential units,unit-elasticity offset (superseded as headline),pct_hispanic,Hispanic share,-0.5410960196319088,0.14030160156460472,-3.8566631713234587,0.00011494537872303034,-0.8160821056718226,-0.266109933591995,-5.26717282267154,-7.836702596910417,-2.6260040831749043,pct_change_in_count,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,64024,0.017127326035547282,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_stat,statutory periodic (contrast),log residential units,unit-elasticity offset (superseded as headline),pct_asian,Asian share,-0.27024732202891427,0.17117357392023497,-1.5787911407098774,0.1143839713417476,-0.6057413620175796,0.06524671795975101,-2.666283154568394,-5.8776012339673445,0.654600383661541,pct_change_in_count,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,64024,0.017127326035547282,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
allocation,n_stat,statutory periodic (contrast),log residential units,unit-elasticity offset (superseded as headline),poverty,poverty rate,0.600920401845094,0.22933527087348676,2.6202703123524023,0.008786009361944291,0.15143153054832215,1.0504092731418657,6.193428267477907,1.525839155366815,11.075606968808337,pct_change_in_count,2215,201,nta,boro,demographics jointly + era shares + mean log bldg area + commercial share + log mean units,2020-01..2026-05,64024,0.017127326035547282,agency events geo-match to tracts at 94.1% (callers 97.9%); proactive counts slightly undercounted
