term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n
sg_chinese,0.28587906698547894,0.03832259194769447,7.459805103362216,8.659739592076221e-14,0.2107681669737731,0.3609899669971848,ppml_n_complaints,complaints,459970
sg_indian,0.3087344300952754,0.05762432836827813,5.3577098221804516,8.428346109923268e-08,0.1957928218601405,0.42167603833041034,ppml_n_complaints,complaints,459970
sg_indo_caribbean,0.4511470962090862,0.048420424264010324,9.317289203192969,0.0,0.3562448085354766,0.5460493838826959,ppml_n_complaints,complaints,459970
sg_korean,-0.042558511946326545,0.08927897105231615,-0.47669133553732257,0.633581933620426,-0.2175420797856603,0.1324250558930072,ppml_n_complaints,complaints,459970
sg_muslim_sa,0.47178668262699,0.03780752040063828,12.47864651338058,0.0,0.3976853042969756,0.5458880609570044,ppml_n_complaints,complaints,459970
sg_nepali_himalayan,0.30262097263312276,0.1864021040186605,1.6234847467324067,0.10448582144390084,-0.06272043788594078,0.6679623831521864,ppml_n_complaints,complaints,459970
sg_sikh_punjabi,0.31411492874309105,0.0962670780834684,3.262952766372919,0.0011025789462009161,0.12543492280258775,0.5027949346835944,ppml_n_complaints,complaints,459970
sg_singh,0.37132807660180833,0.06818120500860853,5.446194102244521,5.145898107628e-08,0.23769537036239366,0.504960782841223,ppml_n_complaints,complaints,459970
sg_vietnamese,-0.10663613894289053,0.10506622463929724,-1.014942140625905,0.3101334088872467,-0.31256215522750797,0.09928987734172692,ppml_n_complaints,complaints,459970
sg_asian_small,0.023116370209481166,0.23493320590657424,0.09839549977738711,0.921618247998667,-0.43734425213993716,0.48357699255889947,ppml_n_complaints,complaints,459970
asian_uncl,0.22072929735909286,0.033649370241005915,6.559685835965719,5.39213118599946e-11,0.15477774358426738,0.28668085113391834,ppml_n_complaints,complaints,459970
black_c,0.00824748626219327,0.03268537579492458,0.2523295529456311,0.800786347054353,-0.05581467311701616,0.0723096456414027,ppml_n_complaints,complaints,459970
hisp_c,0.03439088671172947,0.030660187622307263,1.121678938673809,0.2619989746178377,-0.025701976787233537,0.09448375021069247,ppml_n_complaints,complaints,459970
mixed_uncertain,0.05174626227611152,0.028956663768156313,1.7870243164206285,0.0739335585116232,-0.005007755821910757,0.10850028037413378,ppml_n_complaints,complaints,459970
owner_occ_star,-0.09195899239012001,0.017946101029459163,-5.12417667989086,2.9884066510277307e-07,-0.12713270407077717,-0.05678528070946285,ppml_n_complaints,complaints,459970
era_pre1940,0.20908256286815427,0.03411194209532965,6.129306923770261,8.826270825323945e-10,0.14222438491859235,0.2759407408177162,ppml_n_complaints,complaints,459970
era_4079,-0.03265345685159638,0.03548339541909081,-0.920246116977524,0.3574441598003586,-0.10219963392220793,0.036892720219015164,ppml_n_complaints,complaints,459970
era_8099,-0.25911330159209706,0.07791098083607818,-3.325761000715186,0.0008817750160099447,-0.41181601803100065,-0.10641058515319343,ppml_n_complaints,complaints,459970
era_unknown,1.1167341842521192,0.1456502364882221,7.6672322076347825,1.7541523789077473e-14,0.8312649663954622,1.4022034021087761,ppml_n_complaints,complaints,459970
com_class,-0.08230549566911964,0.06433944883746856,-1.2792384323502073,0.20081310589965184,-0.2084084981757155,0.04379750683747623,ppml_n_complaints,complaints,459970
log_bldgarea,0.8309809340471493,0.10967557804067525,7.576718070626119,3.552713678800501e-14,0.6160207511038138,1.0459411169904849,ppml_n_complaints,complaints,459970
mzone,-0.09214874929946451,0.0759887886939096,-1.2126624319628103,0.22525890872076615,-0.24108403836835182,0.0567865397694228,ppml_n_complaints,complaints,459970
multi_bldg,0.03662690469284275,0.016423364693418353,2.2301705756750896,0.025736120879904734,0.004437701388776062,0.06881610799690943,ppml_n_complaints,complaints,459970
log2_area_per_unit,-0.20237299375053236,0.07647868331259934,-2.6461359556015367,0.008141708672369186,-0.3522684586282715,-0.052477528872793194,ppml_n_complaints,complaints,459970
value_rank,-0.15219291279914618,0.056884124908261155,-2.6754900957796672,0.007462007796917192,-0.2636837489114159,-0.04070207668687649,ppml_n_complaints,complaints,459970
any_prior_viol,0.582302691350808,0.019161435750420844,30.389303752356806,0.0,0.544746967387905,0.6198584153137111,ppml_n_complaints,complaints,459970
geo_nyc_other,0.07224347279231218,0.014743792142165767,4.899924801958045,9.587334308669426e-07,0.04334617119812262,0.10114077438650174,ppml_n_complaints,complaints,459970
