outcome,outcome_label,conv_def,conv_def_label,term,b,se,t,p,ci_lo,ci_hi,irr,irr_lo,irr_hi,n_obs,n_jobs_sample,n_events,fe,offset,cluster,window,unit
n_disc,discretionary_field+followup (agency),conversion_ge10,non-residential-to-residential conversion (10+ units),jt_altco_existing,1.2789275474549566,0.04412688587396034,28.982954997276682,0.0,1.192440440392085,1.3654146545178283,3.592784567748401,3.295112929617115,3.917347060924846,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_ge10,non-residential-to-residential conversion (10+ units),jt_full_demolition,1.5584494195787726,0.06536581668109744,23.84196356303534,0.0,1.430334773063774,1.686564066093771,4.751448027947416,4.180098342040135,5.4008916812389725,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),conversion_office,0.5200721282150189,0.21959652739176694,2.3683076157538423,0.01786967128080641,0.08967084339709219,0.9504734130329456,1.682148975726334,1.093814188282141,2.5869340577682043,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),log_cost,0.09896242400173742,0.0037407858831201377,26.45498221330814,0.0,0.09163061839694608,0.10629422960652876,1.1040248139449644,1.0959599198716223,1.1121490555503057,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),log_floor,0.06831314294312114,0.003981525279486269,17.157530882721282,0.0,0.06050949679179228,0.07611678909445001,1.0707005383063743,1.062377686702113,1.0790885925779106,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),floor_missing,-0.8375406711496849,0.08913929504003752,-9.3958637520467,0.0,-1.0122504790354483,-0.6628308632639215,0.4327735482022893,0.3634002340240855,0.5153902680513567,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),jt_new_building,1.1176387611491567,0.03747346306015619,29.824805872758812,0.0,1.0441921231752584,1.191085399123055,3.057625887724215,2.84110233552448,3.2906509393845584,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),jt_alteration_co,0.7897504924000339,0.03096809746753672,25.502066868263853,0.0,0.7290541366939359,0.8504468481061319,2.202846730681311,2.0731187930207082,2.3406925523080093,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),jt_altco_existing,1.3098975016449064,0.04313110524570257,30.370135292914153,0.0,1.2253620887499228,1.39443291453989,3.7057938549687095,3.405398916216354,4.032687045893029,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_office,office/store-class conversion (relaxed + PLUTO class O/K),jt_full_demolition,1.5574874836948522,0.06533045391899023,23.84014483698731,0.0,1.4294421469199778,1.6855328204697266,4.74687963719052,4.1763687417933735,5.3953249061763096,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
