term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,note,label,viol_agency_pct,viol_caller_pct,ecb_agency_pct,ecb_caller_pct,noaccess_agency_pct,noaccess_caller_pct,n_agency,n_caller,viol_agency_pct_matched,viol_caller_pct_matched,n_agency_matched,n_caller_matched,agency_share,window
agency_after_receipt_viol_pct,25.605506560550655,,,,,,timing_rates,violation dispositions per 100 events,23245.0,violation rate within the timing bucket,,,,,,,,,,,,,,,2020-01..2026-05
caller_backdated_share,0.003129449686272669,,,,,,timing_rates,share of inspection-dated events (pct),191727.0,inspection_date vs received_date (open_data),,,,,,,,,,,,,,,2020-01..2026-05
caller_backdated_viol_pct,0.0,,,,,,timing_rates,violation dispositions per 100 events,6.0,violation rate within the timing bucket,,,,,,,,,,,,,,,2020-01..2026-05
caller_sameday_share,10.430977379294518,,,,,,timing_rates,share of inspection-dated events (pct),191727.0,inspection_date vs received_date (open_data),,,,,,,,,,,,,,,2020-01..2026-05
caller_sameday_viol_pct,36.24681234061703,,,,,,timing_rates,violation dispositions per 100 events,19999.0,violation rate within the timing bucket,,,,,,,,,,,,,,,2020-01..2026-05
caller_after_receipt_share,89.56589317101921,,,,,,timing_rates,share of inspection-dated events (pct),191727.0,inspection_date vs received_date (open_data),,,,,,,,,,,,,,,2020-01..2026-05
caller_after_receipt_viol_pct,14.039552299647104,,,,,,timing_rates,violation dispositions per 100 events,171722.0,violation rate within the timing bucket,,,,,,,,,,,,,,,2020-01..2026-05
n_mixed_events,239662.0,,,,,,sample,count,,,,,,,,,,,,,,,,,2020-01..2026-05
n_dropped_pending,57.0,,,,,,sample,count,,,,,,,,,,,,,,,,,2020-01..2026-05
insp_dated_share,0.9852,,,,,,sample,count,,,,,,,,,,,,,,,,,2020-01..2026-05
n_ecb_predating_receipt,1998.0,,,,,,sample,count,,,,,,,,,,,,,,,,,2020-01..2026-05
n_panel_matched,201574.0,,,,,,sample,count,,,,,,,,,,,,,,,,,2020-01..2026-05
match_share,0.8413,,,,,,sample,count,,,,,,,,,,,,,,,,,2020-01..2026-05
n_full_tract,232100.0,,,,,,sample,count,,,,,,,,,,,,,,,,,2020-01..2026-05
n_matched_agency,31785.0,,,,,,sample,count,,,,,,,,,,,,,,,,,2020-01..2026-05
