term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,n
p_black,0.25954837012738846,0.05313894996914655,4.884333813108595,1.0377912911252452e-06,0.15539794201158538,0.3636987982431915,cat_n_conv,456228
p_hispanic,0.2251985998875794,0.04320282712892458,5.2125894265101795,1.8622274677859707e-07,0.14052261468457722,0.3098745850905816,cat_n_conv,456228
p_asian,0.7114804008327563,0.04068458794894273,17.48771308008898,0.0,0.6317400737269763,0.7912207279385364,cat_n_conv,456228
owner_occ_star,-0.1720730492258881,0.026201467967395836,-6.5673056731023465,5.123390600658695e-11,-0.22342698278406384,-0.12071911566771235,cat_n_conv,456228
era_pre1940,0.3098823328612919,0.051426305783530996,6.025755265518802,1.683217343284582e-09,0.20908862566762726,0.41067604005495656,cat_n_conv,456228
era_4079,0.17895778458735676,0.04706806903574479,3.8021059340983645,0.00014347135381886922,0.08670606445545204,0.2712095047192615,cat_n_conv,456228
era_8099,0.023120592405412966,0.05766786378624048,0.40092680545814713,0.6884740138421634,-0.08990634368098005,0.13614752849180597,cat_n_conv,456228
era_unknown,0.685261620214515,0.4812591373797667,1.4238932146731746,0.15447738631805552,-0.2579889562806421,1.628512196709672,cat_n_conv,456228
com_class,-0.5425409527279679,0.11221671290978627,-4.8347606934818135,1.333059028940653e-06,-0.76248166849462,-0.3226002369613158,cat_n_conv,456228
log_bldgarea,0.3941809530414658,0.20177902078356255,1.9535279312524882,0.050757070928300285,-0.0012986605300759346,0.7896605666130074,cat_n_conv,456228
mzone,-0.10336804543215307,0.11107280624112825,-0.9306332389563572,0.3520433145412971,-0.3210667453265602,0.11433065446225409,cat_n_conv,456228
multi_bldg,0.0694143526624787,0.020067711424395087,3.4590069188505432,0.0005421709772113203,0.030082361018521325,0.10874634430643607,cat_n_conv,456228
log2_area_per_unit,-0.15433675163030713,0.1402108925963671,-1.1007472299217502,0.27100668435814934,-0.4291450513594004,0.12047154809878613,cat_n_conv,456228
value_rank,0.11540844064608598,0.09286991768412674,1.2426891669982767,0.21398239740880642,-0.06661325326200195,0.2974301345541739,cat_n_conv,456228
any_prior_viol,0.5430920269954084,0.02643637572911432,20.543361637779356,0.0,0.4912776826845755,0.5949063713062412,cat_n_conv,456228
geo_nyc_other,0.04876229621866937,0.0210335508481999,2.318310235422877,0.020432466544052286,0.00753729408920565,0.0899872983481331,cat_n_conv,456228
geo_outside_nyc,0.177119803138387,0.035026061619539674,5.05680042084945,4.2634901165072847e-07,0.10846998384380853,0.24576962243296546,cat_n_conv,456228
geo_unknown,-0.45697615887809906,0.02462186453453305,-18.55977065575897,0.0,-0.5052341265980079,-0.4087181911581902,cat_n_conv,456228
multi_prop_owner,0.18267417934960217,0.024431326676249497,7.4770470621714455,7.593925488436071e-14,0.13478965896962047,0.23055869972958387,cat_n_conv,456228
p_black,-0.13498337558034978,0.05673295608861315,-2.379276259983961,0.017346670081996418,-0.24617792625052398,-0.0237888249101756,cat_n_constr,459270
p_hispanic,0.012475906699289042,0.04577803867573962,0.2725303892475571,0.7852142279997942,-0.0772474003880423,0.10219921378662038,cat_n_constr,459270
p_asian,0.22492389011243835,0.04741098424408586,4.744130367647784,2.0940396370239256e-06,0.1320000685224341,0.31784771170244264,cat_n_constr,459270
owner_occ_star,-0.01119975284917567,0.026439970440045958,-0.4235917311092199,0.6718635868030756,-0.06302114266396941,0.04062163696561807,cat_n_constr,459270
era_pre1940,0.35743104170576445,0.04772765741192862,7.488970988474103,6.94999613415348e-14,0.26388655211191814,0.45097553129961077,cat_n_constr,459270
era_4079,0.07345406697175261,0.04693678506458716,1.564957354251606,0.11759290903024522,-0.01854034130493576,0.16544847524844097,cat_n_constr,459270
era_8099,-0.31128195400311576,0.06722622433009715,-4.630364967020094,3.6502176645747397e-06,-0.4430429325067165,-0.179520975499515,cat_n_constr,459270
era_unknown,1.2063023599740712,0.1665023635213538,7.244956374564399,4.32542890393961e-13,0.879963724131422,1.5326409958167204,cat_n_constr,459270
com_class,0.004781952772196307,0.08744462751078812,0.05468549536226629,0.9563890250946026,-0.16660636779046883,0.17617027333486146,cat_n_constr,459270
log_bldgarea,0.6538357605508632,0.1474256324243294,4.435020896969622,9.20633581746877e-06,0.36488683060113714,0.9427846905005893,cat_n_constr,459270
mzone,-0.044831146541465236,0.08933733693056399,-0.501818702927193,0.6157950557600917,-0.2199291094000908,0.1302668163171603,cat_n_constr,459270
multi_bldg,0.05581197164078513,0.02419575341741047,2.3066845936950515,0.021072409739871345,0.008389166363848663,0.1032347769177216,cat_n_constr,459270
log2_area_per_unit,-0.01885094863749836,0.10445762341958338,-0.18046503472301134,0.8567875019516811,-0.22358412845052952,0.1858822311755328,cat_n_constr,459270
value_rank,-0.16514538759562253,0.07456311274888586,-2.2148403078583945,0.026771027465746,-0.3112864031586382,-0.01900437203260688,cat_n_constr,459270
any_prior_viol,0.4853829689403508,0.028865725915121047,16.815200503448533,0.0,0.4288071857591091,0.5419587521215926,cat_n_constr,459270
