variable,quintile,range_lo,range_hi,n_lots,hpd_complaints_per100_yr,hpd_violations_per100_yr,hpd_hit_rate,hpd_noaccess_rate
poverty,1,0.0,0.056325232795821,152087,14.944692882978206,22.352687913846985,0.326330871372644,0.3365154811715481
poverty,2,0.056325232795821,0.0911513859275053,152086,23.76560356913578,35.50591932691534,0.3289136456335799,0.3253699345761
poverty,3,0.0911513859275053,0.1285869960043588,152086,33.915875689608974,57.0764900446791,0.3510062955930848,0.30770976248917326
poverty,4,0.1285869960043588,0.1953793496862521,152086,65.36629736661298,110.55552813505551,0.35646697593437143,0.2919507996446024
poverty,5,0.1953793496862521,0.7699115044247787,152086,148.806954916656,262.6555959196702,0.36938781955508265,0.27701572510601374
income,1,11612.0,66161.0,152087,151.3762415036028,265.0459379068662,0.3717444575592733,0.27621415542048333
income,2,66161.0,83351.0,152086,59.00929942064563,98.29527415367005,0.3548143494880911,0.2921687411897156
income,3,83351.0,98603.0,152086,32.34550649828847,56.8040194619893,0.3516199508717738,0.3065218853859713
income,4,98603.0,117832.0,152086,16.97996912546575,27.262531400979384,0.3399823193763562,0.3283892244333976
income,5,117832.0,250001.0,152086,27.08751080856337,40.736862653409865,0.312468111537523,0.3284145210489659
foreign_born,1,0.0144555091551557,0.2242676167854315,152087,41.60605613721265,70.11055445964412,0.3412629757785467,0.30439074015952555
foreign_born,2,0.2242676167854315,0.3280851535646967,152086,74.41408321436727,118.7055649136314,0.3496162887640603,0.28620172432715874
foreign_born,3,0.3280851535646967,0.4166666666666667,152086,68.88238728907824,120.96843361522556,0.3704711242949536,0.28283370664702934
foreign_born,4,0.4166666666666667,0.5196153846153846,152086,62.861289519890576,107.77097920161714,0.36922346942673495,0.2851233552040589
foreign_born,5,0.5196153846153846,0.8442541982219295,152086,39.03543295992305,70.590375131227,0.3625073275803307,0.30574077316587245
black,1,0.0,0.0052784375824755,152087,9.9712920637786,22.25513609392573,0.326019807465891,0.33740523871583544
black,2,0.0052784375824755,0.0259829059829059,152086,32.715324600179216,55.78002603106821,0.33581327829065255,0.30935141350561296
black,3,0.0259829059829059,0.0998896247240618,152086,52.91831637977897,81.09263538691626,0.34287054020880164,0.30657059956505855
black,4,0.0998896247240618,0.4688448074679113,152086,128.3384605873198,213.40430935265437,0.3671656663544305,0.2760918520254828
black,5,0.4688448074679113,0.9335463258785942,152086,62.85606349517556,115.61411511702795,0.37000176803394624,0.29140211176202335
hispanic,1,0.0,0.077433628318584,152087,27.179556062366554,50.505712767444535,0.3482921804075588,0.31306509802930454
hispanic,2,0.077433628318584,0.1320113314447592,152086,33.03472693423116,56.78424254493058,0.34617183097465737,0.3096980130550176
hispanic,3,0.1320113314447592,0.208041958041958,152086,39.2350466098214,66.66860223137593,0.3479074729323209,0.3016741164385463
hispanic,4,0.208041958041958,0.3591151031270791,152086,49.39986962263831,81.256076748101,0.35134913864819395,0.29948698594530193
hispanic,5,0.3591151031270791,0.945528967254408,152086,137.95014474892963,232.93140193578103,0.37083383619408566,0.2746966182331511
asian,1,0.0,0.0240025948751216,152087,106.02632686571485,189.05450477379702,0.37453964489244657,0.2745924555894877
asian,2,0.0240025948751216,0.0676149649259548,152086,77.00711371266189,131.35336449250943,0.3629961077469336,0.2848082638763676
asian,3,0.0676149649259548,0.1427619893428064,152086,47.8981560501227,78.32581394907973,0.33945211724935503,0.3029310027420621
asian,4,0.1427619893428064,0.3099601593625498,152086,36.381944528651,54.26980735950661,0.3353670201705136,0.31777557100297915
asian,5,0.3099601593625498,0.9124087591240876,152086,19.485284385406683,35.14163466295812,0.3398785852012533,0.3328710542976876
renter,1,0.0046620046620046,0.2541751527494908,152087,2.9105692153815923,3.695697413109157,0.3040973895992483,0.3675003875768694
renter,2,0.2541751527494908,0.4039301310043668,152086,8.929739171839037,13.999085616459993,0.3364319299573042,0.3375283071222062
renter,3,0.4039301310043668,0.5764299802761341,152086,23.41310307855552,38.57861691718851,0.3401477635326006,0.329861430454643
renter,4,0.5764299802761341,0.7572209211553473,152086,53.234849523791304,95.32668717340547,0.35359912407585986,0.30469522096698154
renter,5,0.7572209211553473,1.0,152086,198.31124256252144,336.5462568939549,0.3651868637664647,0.27820132317188273
overcrowd,1,0.0,0.0260718424101969,152087,26.875936269901562,42.744092389361214,0.3402161184649363,0.3105749381731968
overcrowd,2,0.0260718424101969,0.0510948905109489,152086,37.496829801183914,60.89650916919699,0.3432048076622985,0.30523244608060446
overcrowd,3,0.0510948905109489,0.0833333333333333,152086,53.38128068688409,87.83359244282668,0.35300621210770866,0.2933052805027721
overcrowd,4,0.0833333333333333,0.134599504541701,152086,74.3934865287258,123.20968092044984,0.3621335500732007,0.287678516707989
overcrowd,5,0.134599504541701,0.5547652916073968,152086,94.65181268766082,173.46221234021556,0.37255027648304667,0.27944306508382677
all,0,,,760431,57.35982910716713,97.62914527607182,0.3596004518140974,0.2903732494603452
