units,occ,n,cpu,vpu
2,Owner-occupied (STAR),108205,23.006792662076613,3.9281918580472253
2,Absentee-owned,164201,28.790019549211028,5.3994799057253005
3,Owner-occupied (STAR),34797,17.256276882106693,3.318293722638925
3,Absentee-owned,41827,24.061810154525386,5.161737633585961
4,Owner-occupied (STAR),3998,20.535267633816908,4.083291645822911
4,Absentee-owned,17714,25.64355876707689,5.933160212261488
