word,z,n_strict,n_lenient
retn,1.8769253106111234,96,0
steel,1.8787259285160736,246,127
allowing,1.8803051556115287,77,33
repr,1.8866763281531016,97,0
year,1.9052037538967084,60,24
front,1.9120853913732205,1492,872
exterior,1.9239858664655753,755,426
concrete,1.9540881218025161,470,256
strt,1.9629419417035234,105,0
regarding,2.0497089884204525,60,23
vibration,2.0752290999358594,116,52
excavation,2.094812087952032,193,94
second,2.112016740867713,179,86
tank,2.1215664433485446,63,24
replacing,2.1218223255629827,65,25
top,2.1262631652494792,217,107
rebar,2.139463620834676,81,33
appointment,2.1510919281423666,169,80
rpair,2.1673120528745877,128,0
obstruction,2.2010357192489485,226,111
partially,2.244652337922666,182,86
dzr,2.2666391561923818,140,0
agg,2.2747207245156056,141,0
built,2.307100382413864,141,63
hvac,2.326127014110008,82,32
stated,2.3275208919143164,84,33
overhead,2.3859196836022547,118,50
signage,2.388289006457973,83,32
lobby,2.388289006457973,83,32
temporary,2.4011233259132783,352,179
additional,2.4055317800125957,126,54
request,2.414929764434106,226,108
container,2.415322067540978,107,44
netting,2.4478003141247493,279,137
mean,2.4504874115317286,288,142
hand,2.464892689521528,68,24
extension,2.4657327492538728,292,144
flex,2.47469520840718,64,22
less,2.480804623446036,62,21
protection,2.4823420626966266,673,363
restrictor,2.4830042418618987,168,0
three,2.5106990581183166,91,35
spec,2.511696748803699,83,31
working,2.5131241888579785,410,210
deck,2.5481374044205167,189,86
past,2.5630146288260742,179,0
bedroom,2.571598615777389,100,39
further,2.576103785971882,156,68
variou,2.577820277661425,108,43
west,2.606076712552133,128,53
pump,2.616850224466855,64,21
available,2.6331917885827223,85,31
cut,2.6591984531660646,429,218
determine,2.659565407439637,154,66
adequate,2.6640798777362416,466,239
monitoring,2.6991883118616116,124,50
information,2.732226645348917,341,167
need,2.7429481121582953,95,35
corner,2.8143271506624377,165,70
debri,2.815912098428648,1041,570
gutter,2.8435445867776106,76,25
dot,2.8915821891487874,229,103
elevator,2.9042444144047135,205,90
box,2.9148371940071196,144,58
vent,3.0170484745866486,68,20
rock,3.0441432868420515,64,18
leading,3.0679970103994822,84,27
respondent,3.0794941848425386,69,20
changed,3.0864496344269368,97,33
dislodged,3.1161993696453005,74,22
stop,3.120254750493523,454,223
sws,3.1455033689874776,630,322
high,3.150563686242755,127,47
used,3.1536316063789425,277,125
visible,3.1638497271562405,169,68
take,3.17000547919245,66,18
secure,3.1825120740825272,185,76
traffic,3.2486003191743658,74,21
phase,3.2883593344817843,144,54
prevent,3.2926359657569724,68,18
gain,3.3011976120268125,311,141
filled,3.307750776838493,75,21
necessary,3.345757324920567,1747,969
immediate,3.3697100028014737,67,17
fall,3.3780883227348943,166,64
plate,3.382785663791178,178,70
reviewed,3.388317541032562,94,29
residence,3.3898048654381747,109,36
housekeeping,3.403075725276717,397,186
