word,z,n_strict,n_lenient
sty,6.345908509398741,129,7
reg,6.35078067143001,130,13
multiple,6.355050581438716,300,88
first,6.363987420070028,320,97
heater,6.413882085842157,164,28
joint,6.456692187712713,156,24
support,6.46921862869041,187,37
electrical,6.482716471175253,1509,713
waste,6.491960214133975,135,13
rts,6.493083580006026,230,55
unit,6.515641707071889,700,280
piping,6.543221779298378,168,28
inadequate,6.598763310119577,261,67
masonry,6.616329776393642,257,65
collapse,6.617319343451091,168,27
nyspe,6.64158696074644,301,2
lic,6.654780042710788,141,13
installed,6.678503732054847,1520,712
cap,6.710946768389082,171,27
eval,6.714698863682763,314,2
storage,6.72252919833132,578,214
lack,6.732706232659811,143,12
obstructing,6.758884746338144,157,20
deteriorated,6.774136553627561,145,9
ftm,6.7834357990472105,178,29
cease,6.808081245118722,293,78
pipe,6.879471602719978,486,166
appurtenance,6.932481705109619,155,8
created,6.943931739460402,195,34
alarm,6.960835377728714,154,14
dryer,6.965699939493498,169,6
unobstructed,7.010385074423502,162,18
ade,7.073823297130371,270,64
member,7.081681247015168,158,13
pad,7.099561404924301,184,27
show,7.112425578061133,299,76
zone,7.119184007490144,331,90
prmt,7.12452373666008,274,3
safety,7.18324617863999,1097,468
step,7.191707375257931,253,55
using,7.248322143825335,187,26
metal,7.296724095515974,317,81
located,7.352689263736351,296,71
specification,7.478479771753979,202,29
retain,7.502565815416779,208,6
yard,7.508973708426926,1058,438
window,7.589419559125573,873,341
meter,7.665115456716393,265,53
renew,7.736453126340666,310,71
floor,7.738532365803281,2251,1072
illegally,7.746206899695372,249,45
protect,7.74682289229867,221,33
operation,7.750217623176193,533,171
summonse,7.752670899860613,198,9
residential,7.850872638070049,435,124
ladder,7.874283976830508,235,37
contrary,7.888990567106645,554,178
potential,7.900850532073743,206,23
incident,7.906009423382672,210,25
passageway,7.908604476568292,234,36
vertical,7.943337620219325,355,87
public,8.009298760048194,853,320
loose,8.09317315438586,377,94
feu,8.098887116969923,267,47
day,8.203421126261004,264,44
ecb,8.205329449617475,1464,628
properly,8.297665662765588,315,64
monitor,8.305237370966493,229,10
converted,8.395845718568621,267,42
wall,8.429557930606734,1515,647
obstructed,8.442248949637984,316,62
hole,8.502150633195145,290,50
regulation,8.640445768086916,298,51
however,8.655527451837358,619,192
made,8.699190655738404,275,40
bldg,8.706505715619583,726,241
previously,8.814532025993328,289,44
water,8.862528066828306,884,313
department,8.884550858266905,506,136
wrk,8.952522174265233,264,12
equipment,8.957926221996674,543,151
accepted,8.979893870252672,369,75
lock,9.495817932773196,292,30
parapet,9.519719211547601,567,150
mortar,9.579224949824399,290,25
obtain,9.590055618384016,483,112
unpermitted,9.59496979563065,293,27
oath,9.59588536522006,557,144
planting,9.59778373700753,290,19
brick,9.662136350892851,567,147
damaged,9.696524620005322,363,59
district,9.864490113357926,329,40
measure,9.88730355927998,438,87
sprinkler,10.179428502372373,377,55
erected,10.421840249245479,754,213
boiler,10.61864781723146,778,219
repair,10.817063389454395,1137,380
certify,10.95867129442032,408,16
item,11.038600485207827,404,46
submit,11.09067106910358,421,16
disrepair,11.113455541633074,420,52
enforcement,11.183412339041354,426,53
unsafe,11.226605827485052,2372,984
create,11.273135106865404,399,28
immediately,11.320909062272914,423,19
escape,11.469797595266598,582,114
facade,11.472190988849492,931,266
height,11.717948338986055,518,81
same,11.90749616914466,462,49
order,12.102984878393626,2292,905
replace,12.211163144715481,520,69
remain,12.236519984014974,571,91
act,12.318597349732508,482,28
immed,12.602249965310412,602,16
unlawful,12.736976412388547,512,32
story,12.986084815590365,2225,834
hazard,13.138371116410772,781,157
exit,13.380063419085136,577,58
exp,13.387817415380434,1998,706
correct,13.572832212498133,599,63
door,13.984377026033725,1930,650
creating,14.030466410557175,619,41
pedestrian,14.349305712715084,748,109
commissioner',14.479412408858103,689,76
crack,14.578735537480503,866,153
compliant,15.299462097493723,943,164
fire,15.310618488753539,1575,437
cellar,15.401229904022166,1184,263
building,15.569931194303294,6379,2861
room,15.644149173482985,1032,191
remedy,15.747576139676482,828,35
gas,15.845370799874436,1073,202
emergency,15.896587901984491,844,99
manner,17.358475779330337,971,98
summon,17.69850201240463,1971,525
level,18.021199034202613,1500,309
missing,18.080438911368905,1342,240
gained,18.566315469430034,1356,228
access,20.653857441352095,3383,1033
code,21.714640744438835,2994,804
provide,21.775538288823896,1935,344
sidewalk,22.302218940576186,3276,901
class,22.545483674310724,1676,189
rca,23.517996504469394,2020,60
issued,23.636324456943818,7862,3028
certificate,23.753690806814134,2230,379
file,23.839546197361702,2214,368
comply,24.67479675149997,2582,484
exposure,25.4330858359237,2994,621
shed,27.342824319038236,3327,662
correction,27.789059979478054,2626,101
maintain,39.07948651043716,4964,545
failure,45.785993295877425,6559,586
