bbl_key,date,any730,any365,placebo365,fully_cold
3025127505,2024-02-05,1,0,0,0
5001340047,2026-01-31,1,1,1,0
4106640081,2025-02-19,0,0,0,1
3064650013,2026-03-27,1,1,1,0
3004290048,2024-08-27,1,1,1,0
3076200048,2025-06-10,1,0,0,0
3015250007,2026-03-05,1,1,1,0
3011120086,2024-08-16,0,0,0,1
3070750028,2026-02-18,0,0,0,1
4015300029,2024-11-22,0,0,1,1
3058730022,2025-02-06,0,0,0,1
4026380035,2025-11-25,1,1,0,0
4130170020,2025-06-02,0,0,0,1
4030350001,2024-06-26,1,1,0,0
2028870035,2026-01-27,1,0,1,0
3078720010,2026-03-05,1,1,1,0
3052210018,2024-05-29,1,1,1,0
3043000008,2025-04-21,1,1,1,0
5069930112,2024-07-02,1,1,0,0
2035990040,2025-01-28,1,1,1,0
5040490042,2025-10-09,0,0,0,1
3045480040,2024-11-04,0,0,1,1
4093400159,2024-12-22,1,1,1,0
4017490037,2025-12-17,1,0,1,0
3032300015,2025-12-29,1,1,1,0
4024900035,2024-05-08,0,0,0,1
4060220035,2024-03-05,0,0,1,1
4114280037,2026-01-30,0,0,0,1
3017580080,2024-12-05,1,0,1,0
3016730012,2024-01-09,1,1,0,0
4046690047,2024-08-09,0,0,0,1
3016480003,2026-03-05,1,1,1,0
4038230007,2025-12-01,1,0,0,0
4126100025,2024-09-19,1,1,0,0
4131940006,2024-09-06,1,1,1,0
3069140041,2025-08-21,0,0,0,1
4067480107,2024-06-07,1,1,1,0
2028720276,2024-02-20,1,1,1,0
4076800033,2025-02-24,0,0,0,1
4040640014,2025-01-15,1,1,0,0
2049020041,2025-07-21,1,0,1,0
4122810045,2025-09-19,1,1,1,0
2045580026,2024-07-02,1,0,1,0
2053260038,2024-04-25,1,1,0,0
3071330029,2025-05-08,1,0,1,0
3057290042,2025-04-01,0,0,0,1
4100080015,2024-08-02,0,0,1,1
2045630022,2025-09-12,0,0,1,1
2046680078,2025-08-22,1,1,1,0
3037920048,2025-11-13,1,0,1,0
4016900007,2024-04-25,1,1,0,0
4013130035,2025-02-25,0,0,1,1
4129640244,2024-08-12,1,1,1,0
5033960042,2024-08-14,0,0,0,1
4134360064,2024-11-25,0,0,0,1
3049750068,2024-08-26,1,1,1,0
5027700048,2024-12-24,0,0,0,1
3032300015,2025-12-29,1,1,1,0
3039460003,2025-01-06,1,1,1,0
3016100063,2025-11-28,1,0,1,0
2046680076,2024-07-02,1,1,1,0
2032090049,2025-12-15,1,0,1,0
4137320042,2025-11-14,0,0,0,1
1020770010,2025-06-09,1,1,1,0
5006610042,2025-11-14,0,0,0,1
4136990027,2025-05-01,1,1,0,0
2034750030,2024-05-17,0,0,0,1
3018000052,2025-05-05,1,1,0,0
4053020093,2024-02-23,0,0,1,1
3013910031,2024-05-20,0,0,1,1
4061660007,2025-07-17,1,1,1,0
3055340044,2024-04-02,1,1,0,0
3011660076,2025-10-28,1,1,1,0
2031470005,2025-06-02,1,1,1,0
3041930001,2024-04-05,0,0,0,1
3058660021,2024-11-15,1,0,1,0
3013920021,2025-02-27,0,0,0,1
3055200013,2025-09-18,1,1,0,0
2047110096,2025-09-11,0,0,0,1
4103650021,2025-05-01,0,0,0,1
4123330212,2024-05-09,1,0,1,0
4132390016,2026-02-20,0,0,0,1
4024240007,2025-10-22,1,1,1,0
4056120054,2025-11-13,1,0,0,0
2051000003,2025-10-31,0,0,1,1
5053570068,2024-03-13,1,0,0,0
4161180028,2024-05-22,1,1,0,0
4050310016,2024-10-28,1,1,0,0
4016450033,2024-08-02,1,0,1,0
4015250091,2026-01-24,0,0,0,1
3088661835,2025-01-15,0,0,0,1
5043940089,2026-01-15,0,0,0,1
2031010002,2024-10-25,1,1,1,0
4110730111,2025-06-09,1,0,0,0
3042020039,2024-02-14,0,0,0,1
3059200067,2024-10-25,1,0,1,0
4010980046,2024-05-10,1,1,0,0
5042730076,2025-01-02,1,1,1,0
3006280001,2026-02-25,1,1,1,0
3004440002,2024-06-05,1,1,1,0
3041650017,2024-04-25,1,1,1,0
3062180061,2024-04-08,1,1,0,0
4074620096,2025-11-14,1,1,0,0
4012140069,2024-11-18,1,1,1,0
3073370040,2024-07-25,1,0,0,0
4130300005,2024-03-06,1,1,1,0
3005310003,2025-04-10,1,1,0,0
5005970027,2024-03-01,0,0,0,1
1020230054,2024-08-27,1,1,1,0
3036710133,2025-07-16,0,0,1,1
5005630046,2025-01-14,1,1,1,0
3070780060,2026-02-26,0,0,0,1
4133340063,2025-09-18,1,1,0,0
4089960078,2025-11-03,0,0,1,1
3041180002,2025-12-22,1,1,1,0
4158340059,2025-07-23,1,1,1,0
3034400050,2024-11-27,1,1,0,0
2045580058,2024-07-02,1,0,0,0
3054590035,2025-12-21,1,1,0,0
4048670004,2025-02-11,1,0,0,0
4060540072,2025-07-15,0,0,0,1
3070920001,2025-03-18,1,1,1,0
2024230027,2025-09-17,1,0,1,0
3062180061,2024-04-08,1,1,0,0
2037680020,2025-02-05,1,1,1,0
4089960078,2025-11-03,0,0,1,1
2038200070,2024-12-02,1,1,1,0
5012230044,2024-07-12,1,0,1,0
3040740003,2024-03-03,0,0,0,1
1005480012,2025-11-26,1,1,1,0
3019640019,2024-03-20,1,1,1,0
3013930009,2025-02-07,0,0,1,1
3016610061,2025-07-05,1,1,1,0
1012130050,2025-10-27,1,1,1,0
4072360071,2025-05-08,1,0,1,0
5023750137,2024-03-03,0,0,0,1
4027630024,2024-11-27,1,1,1,0
2054880014,2025-07-18,1,1,1,0
5036040024,2024-08-22,1,0,1,0
5032290074,2026-01-30,1,1,0,0
3077170027,2025-01-21,1,1,0,0
3047460055,2024-06-24,1,1,1,0
4092610023,2024-10-10,1,1,1,0
3033660031,2024-10-15,1,1,1,0
1002010030,2024-08-18,1,1,1,0
5011000007,2024-05-29,0,0,1,1
4102690088,2025-12-03,1,1,0,0
3081790167,2024-08-22,1,0,1,0
2045170131,2024-04-25,1,1,1,0
3016100025,2024-06-18,1,0,0,0
4008750056,2024-12-23,1,0,0,0
4021710040,2025-01-24,0,0,1,1
3034380035,2024-09-05,1,0,0,0
4141760049,2024-07-15,1,0,0,0
4097330065,2024-06-17,1,1,1,0
4131040019,2025-08-06,1,0,1,0
4117780018,2024-11-08,0,0,0,1
4023060011,2025-09-16,1,1,1,0
3007570027,2025-03-07,1,1,1,0
4018660003,2025-10-10,0,0,0,1
3007070042,2025-01-28,1,1,1,0
3049630001,2025-11-28,1,0,1,0
5054420037,2024-04-10,0,0,0,1
4018850033,2024-03-05,0,0,0,1
4072500031,2025-11-25,0,0,0,1
5037090023,2024-04-10,0,0,0,1
3022340054,2024-04-29,1,1,0,0
5068810040,2024-08-30,0,0,0,1
5008870067,2025-06-03,1,1,0,0
4062680012,2025-11-26,1,1,1,0
4094440021,2025-02-27,1,1,1,0
3050080054,2024-07-08,1,0,0,0
4048930030,2025-05-01,1,1,0,0
3011140163,2025-03-17,1,1,1,0
3071040085,2025-11-28,0,0,0,1
3023670038,2024-05-06,1,1,1,0
4094300056,2025-11-05,1,1,1,0
3023120010,2025-01-22,1,1,1,0
3039460001,2025-01-06,1,1,0,0
2058690631,2024-03-18,0,0,0,1
3042500033,2026-03-19,1,1,0,0
3066230067,2025-08-14,0,0,1,1
3059480006,2025-03-04,1,1,0,0
4054210075,2025-01-21,1,1,0,0
1007640044,2025-09-24,1,1,1,0
4105190009,2025-07-24,0,0,0,1
4047080005,2025-11-05,0,0,1,1
3034240022,2026-03-08,1,1,1,0
4008610018,2026-01-21,1,1,0,0
3026800050,2025-05-30,1,0,1,0
5065750054,2024-03-06,1,1,0,0
4137410071,2025-10-02,1,0,1,0
3038100045,2024-05-17,1,0,0,0
3016370075,2024-11-21,1,1,1,0
3001830055,2025-04-03,1,1,1,0
4122760063,2024-08-28,1,1,1,0
4081890036,2025-08-22,1,1,1,0
3032540127,2025-09-26,1,1,1,0
3034180038,2024-11-07,1,1,1,0
4087090035,2024-05-23,1,0,1,0
4083730040,2025-03-17,0,0,0,1
3061060032,2025-07-03,1,0,1,0
3004570025,2025-12-11,0,0,0,1
3082380027,2025-04-07,1,1,1,0
3047590011,2025-07-11,0,0,0,1
3079900012,2026-03-26,0,0,0,1
2029070023,2024-12-05,1,1,1,0
3014350029,2024-04-26,1,0,1,0
4029430174,2026-03-11,0,0,0,1
3037890053,2025-01-12,0,0,0,1
2058293660,2024-05-20,1,1,1,0
2053320050,2025-07-11,1,1,0,0
4120000007,2024-07-11,0,0,0,1
3030890007,2025-07-26,1,1,1,0
4011640091,2024-01-04,1,1,1,0
4121560003,2024-02-07,0,0,1,1
3067970061,2025-11-14,0,0,1,1
4036780001,2025-05-20,1,1,1,0
2032060141,2024-05-20,1,0,0,0
5011580025,2024-01-12,1,1,1,0
4061690035,2025-07-07,1,1,0,0
4089360006,2025-09-10,1,1,1,0
2039850008,2024-10-02,1,1,0,0
4079800001,2025-12-14,0,0,0,1
4121940046,2025-04-03,1,1,0,0
2037720063,2025-01-14,1,1,1,0
5000390005,2025-01-23,1,1,0,0
4001360026,2024-02-15,1,1,1,0
2038850013,2025-08-04,1,1,1,0
2041720016,2025-09-24,0,0,0,1
4045270052,2025-09-02,0,0,0,1
4060540072,2025-07-15,0,0,0,1
4118170012,2025-09-18,1,1,0,0
2050150036,2025-04-16,1,1,1,0
4008520050,2025-02-25,1,0,1,0
3050340034,2025-08-12,0,0,1,1
5007250041,2024-08-14,0,0,0,1
4089650031,2025-06-02,1,1,1,0
1020940037,2024-08-14,1,1,1,0
3018360084,2024-01-09,1,0,1,0
2024050016,2026-04-01,0,0,1,1
2035940021,2024-01-08,1,1,1,0
3014440035,2025-10-28,1,1,1,0
2033430004,2025-12-17,1,1,1,0
4088820017,2025-12-03,1,1,1,0
2058182108,2024-11-21,0,0,0,1
4091180098,2026-02-08,1,1,1,0
2050110002,2024-01-02,1,0,1,0
4053560004,2025-12-08,1,1,1,0
3036100033,2025-01-24,0,0,0,1
4023810015,2025-05-12,1,1,0,0
4110790024,2025-11-27,1,0,1,0
4093860006,2024-07-11,0,0,0,1
4126490020,2024-09-20,0,0,0,1
4123580049,2025-10-10,0,0,1,1
5007000031,2024-09-12,0,0,0,1
4122200038,2025-09-23,1,1,0,0
3009880066,2025-05-01,1,1,0,0
3082060044,2025-06-30,1,0,0,0
3061820024,2024-03-07,1,1,0,0
4112930038,2025-01-22,1,1,1,0
4098850004,2024-10-16,1,1,1,0
3049760074,2024-05-13,1,1,0,0
1021540094,2025-11-21,1,1,0,0
4120820126,2024-11-08,1,1,1,0
4093140020,2025-12-02,1,0,0,0
3066530051,2025-10-15,1,1,1,0
5054440193,2024-03-22,1,0,1,0
3059480006,2025-03-04,1,1,0,0
2050260001,2025-04-04,1,1,1,0
2024250015,2025-10-24,1,1,1,0
3033120008,2026-01-08,1,1,1,0
4029430003,2026-03-11,0,0,0,1
3073950030,2024-04-26,0,0,0,1
4076820038,2025-09-24,0,0,0,1
3066600029,2024-12-12,0,0,0,1
3073040045,2024-04-10,0,0,0,1
4056550052,2024-06-11,1,1,0,0
4098040001,2024-07-24,1,1,1,0
4011500030,2024-10-01,0,0,1,1
3008240019,2024-05-13,1,1,1,0
3055740001,2026-03-10,1,1,1,0
4133100078,2026-02-06,1,1,0,0
3086650598,2026-03-28,0,0,0,1
3044710049,2024-08-12,1,1,1,0
3074410006,2025-06-03,1,1,1,0
2055290522,2025-03-03,0,0,0,1
3011320029,2024-01-25,1,1,1,0
5023730042,2024-03-03,0,0,0,1
4014960017,2024-01-26,1,1,0,0
5028770111,2024-01-26,1,1,0,0
3040350033,2025-12-26,0,0,0,1
4124610041,2025-02-27,0,0,0,1
4123780035,2024-05-29,0,0,1,1
3003250060,2025-01-28,1,0,1,0
4127540055,2025-03-31,1,1,0,0
4002090033,2024-08-23,1,1,1,0
3005200012,2025-03-13,1,1,1,0
4011060044,2024-01-12,1,1,0,0
4052720045,2024-01-09,0,0,0,1
5033130034,2025-05-01,1,1,1,0
4102580135,2025-10-02,1,1,1,0
4092000023,2025-01-14,0,0,0,1
3009220056,2025-05-06,1,1,0,0
5001580145,2025-04-16,1,1,0,0
2053920027,2024-09-23,1,0,0,0
2027050157,2024-10-15,1,0,1,0
5051480041,2024-03-19,1,1,0,0
4131360126,2024-05-28,0,0,0,1
4005060063,2024-08-23,1,1,1,0
4014270005,2025-08-13,1,1,1,0
3017580038,2025-10-28,1,0,1,0
3032150032,2025-10-06,1,1,0,0
4050540039,2024-02-05,0,0,1,1
4127270031,2024-04-11,1,1,1,0
4100440023,2024-08-29,0,0,0,1
3020140018,2026-02-19,1,1,1,0
4121560002,2024-02-07,1,1,0,0
2048840067,2025-05-28,1,0,0,0
4028190089,2025-06-20,1,1,1,0
2047830043,2024-12-09,0,0,1,1
2050110002,2024-01-02,1,0,1,0
3018260015,2025-12-30,1,1,1,0
3011540031,2025-06-09,1,1,0,0
5040280006,2024-01-29,1,1,0,0
4109220011,2025-12-11,1,1,0,0
5043100142,2024-06-06,1,1,0,0
3062140040,2025-05-05,1,1,0,0
4054080059,2025-07-24,1,1,1,0
3008050056,2025-04-04,1,1,1,0
4053070013,2025-06-24,1,0,0,0
3065520040,2024-03-25,1,1,0,0
2030790078,2025-07-24,1,0,1,0
2037470040,2024-09-04,1,1,1,0
3018520018,2026-01-07,1,1,0,0
3050000043,2024-08-30,1,1,0,0
4063660026,2025-09-23,1,1,1,0
3016040033,2025-10-28,1,1,0,0
3077590023,2025-04-03,1,1,0,0
4132940002,2025-04-17,0,0,0,1
4027800216,2024-03-04,1,0,0,0
4122030229,2025-04-02,0,0,0,1
5002070100,2024-10-08,1,0,0,0
4111840011,2024-02-21,0,0,1,1
3038850158,2025-10-21,1,1,1,0
3057760029,2025-07-17,0,0,0,1
2032550051,2026-02-05,1,1,1,0
4027570060,2024-02-19,1,0,0,0
4099620020,2024-07-16,0,0,0,1
3010350026,2025-05-06,0,0,0,1
3080100027,2024-01-23,1,0,1,0
4111500029,2025-07-28,1,0,1,0
4022320003,2024-05-13,1,1,1,0
1019600032,2024-01-18,1,0,0,0
4008880048,2025-09-17,1,1,1,0
4134810021,2025-08-21,0,0,0,1
4061520044,2024-10-17,1,0,1,0
4132650150,2024-03-18,0,0,0,1
3048940019,2025-11-10,1,1,0,0
3065270077,2024-04-30,1,1,0,0
3064280065,2024-03-19,1,0,0,0
4120120008,2024-06-04,0,0,0,1
4028910118,2024-09-03,1,0,1,0
5011920059,2024-03-02,0,0,0,1
4139910041,2025-06-11,1,1,0,0
3035550021,2025-01-30,0,0,0,1
3068270017,2024-05-01,1,1,1,0
4091870024,2024-09-10,0,0,0,1
3074730011,2025-04-01,0,0,1,1
3066230033,2024-08-12,1,1,0,0
2046510051,2025-04-23,0,0,0,1
2028770365,2025-01-30,1,1,1,0
4098120007,2024-08-01,0,0,0,1
4083940054,2025-08-25,1,1,0,0
1000907502,2025-02-24,1,1,1,0
4101730069,2024-05-06,1,1,1,0
4116130066,2024-02-05,1,1,1,0
3049740063,2026-03-10,1,0,1,0
4032620054,2025-06-16,0,0,0,1
4079880014,2025-03-17,0,0,0,1
3009560063,2024-06-27,1,1,1,0
4024010001,2025-09-19,1,1,0,0
2025090115,2024-11-19,1,1,1,0
2036990033,2026-02-20,0,0,0,1
4131660001,2024-10-23,1,0,0,0
4100460124,2024-04-04,1,1,1,0
2048740045,2024-07-02,1,1,0,0
4000320051,2025-01-28,1,1,1,0
3077670009,2025-04-17,0,0,1,1
3014810006,2025-06-12,0,0,0,1
4120120009,2024-06-04,1,0,1,0
4067570004,2024-05-13,1,1,1,0
3054360062,2025-02-27,1,0,1,0
4113440025,2025-12-01,0,0,1,1
3074200006,2025-02-03,0,0,0,1
5007820085,2024-03-18,1,0,1,0
