inspector_badge,total_cases,violation_rate,mean_severity,mean_comment_length,n_categories,top_category,n_boroughs,primary_unit,loo_strictness,no_access_rate
3255,1397,0.3829634931997137,0.8639942734430923,123.48460987831066,53,ENFORCEMENT WORK ORDER : CORRESPONDENCE RESPONSE,2,QUEENS CONSTRUCTION ENFORCEMENT,0.3829634931997137,0.3271744028841821
3260,836,0.11483253588516747,0.27751196172248804,121.00478468899522,14,WORK WITHOUT A PERMIT - OCCUPIED MULTIPLE DWELLING : CONSTRUCTION,5,REAL TIME ENFORCEMENT,0.11483253588516747,0.09261186264308012
3261,172,0.877906976744186,1.7790697674418605,173.41860465116278,4,Date,4,SPECIAL OPERATIONS,0.877906976744186,0.0
3265,79,0.21518987341772153,0.45569620253164556,161.91139240506328,14,TRACKING COMPLIANCE : AREA : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.21518987341772153,0.0
3267,200,0.55,1.1,41.33,8,BOILER : DEFECTIVE,4,BOILER DIVISION,0.55,0.09745762711864407
3273,1344,0.2976190476190476,0.8132440476190477,211.66964285714286,58,Date,2,BROOKLYN CONSTRUCTION ENFORCEMENT,0.2976190476190476,0.2921686746987952
3281,880,0.7102272727272727,1.4693181818181817,99.09545454545454,15,Date,4,SPECIAL OPERATIONS,0.7102272727272727,0.04890738813735692
3284,223,0.17937219730941703,0.3811659192825112,101.47533632286995,20,INSPECTIONS : GENERAL CONTRACTOR : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.17937219730941703,0.0043859649122807015
3285,2008,0.2963147410358566,0.5278884462151394,118.23406374501992,51,CURB CUT/DRIVEWAY/CARPORT : ILLEGAL - EXISTING,3,QUEENS CONSTRUCTION ENFORCEMENT,0.2963147410358566,0.3971823354104579
3288,82,0.47560975609756095,0.975609756097561,222.9512195121951,18,Date,4,CONSTRUCTION SAFETY ENFORCMENT,0.47560975609756095,0.0
3291,1263,0.16468725257323832,0.3665874901029295,71.16785431512272,52,INSPECTIONS : GENERAL CONTRACTOR : LOW RISE,5,CONSTRUCTION SAFETY ENFORCMENT,0.16468725257323832,0.003105590062111801
3292,883,0.2536806342015855,0.5447338618346546,98.99886749716875,47,ENFORCEMENT WORK ORDER : CORRESPONDENCE RESPONSE,1,QUEENS CONSTRUCTION ENFORCEMENT,0.2536806342015855,0.41572364502680165
3309,320,0.19375,0.41875,51.634375,15,SUSTAINABILITY ENFORCEMENT WORK ORDER : LL 85/09: NYC ENERGY CONSERVATION CODE,5,SUSTAINABILITY ENFORCEMENT,0.19375,0.2907488986784141
3313,42,0.9047619047619048,1.9047619047619047,213.5952380952381,5,CONSTRUCTION SAFETY COMPLIANCE ACTIONS : LOW RISE,5,CONSTRUCTION SAFETY COMPLIANCE,0.9047619047619048,0.0
3322,77,0.16883116883116883,0.5974025974025974,96.8051948051948,13,ENFORCEMENT WORK ORDER : CORRESPONDENCE RESPONSE,1,QUEENS CONSTRUCTION ENFORCEMENT,0.16883116883116883,0.4857142857142857
3323,1195,0.5849372384937238,1.3205020920502093,70.78744769874477,33,Date,5,PLUMBING DIVISION,0.5849372384937238,0.24757869249394673
