bct2020,lat,lng,no_access_rate,n_inspections,pct_white,pct_black,pct_hispanic,pct_foreign_born,median_income,pct_owner_occ_census
1000201,40.71332304545455,-73.98600072954545,0.1836734693877551,49,0.08927231807951988,0.08102025506376594,0.6552888222055514,0.1706676669167292,45582,0.0
1000202,40.71283144181818,-73.98241943636364,0.051643192488262914,213,0.22868161691186972,0.16311955434937866,0.375946293386659,0.2865304956434795,34710,0.26935924688733676
1000600,40.713361361728396,-73.9900428345679,0.19444444444444445,396,0.07989954422844386,0.06083155055343689,0.30704120546925867,0.4922332806250581,25655,0.0446927374301676
1000700,40.70594876470588,-74.00844019117646,0.037606837606837605,585,0.694028130043809,0.04530781646299285,0.07701175928060872,0.20463454000461148,184730,0.15678226964908681
1000800,40.71279273895583,-73.99519890763052,0.15869565217391304,460,0.11970618615861357,0.0018363365086652129,0.032480201997015956,0.6500631240674853,28607,0.013976240391334731
1000900,40.703766923529415,-74.01108587156862,0.04664723032069971,343,0.5975877192982456,0.07510964912280702,0.10964912280701754,0.17982456140350878,222167,0.23726851851851852
1001001,40.71447885714286,-73.97497822857143,0.06666666666666667,15,0.6780660377358491,0.01650943396226415,0.12971698113207547,0.11733490566037735,109352,0.7880710659898477
1001002,40.717218875,-73.97593655,0.1111111111111111,36,0.02638169978293538,0.18700951744865588,0.617465353147437,0.2609784605109367,23658,0.0
1001200,40.716507914285714,-73.98275246571428,0.11764705882352941,119,0.5359634351695934,0.02838585518402694,0.19701707962472936,0.2701467404378157,91154,0.5655066530194472
1001300,40.70858372,-74.01301589882353,0.022727272727272728,572,0.6200370294178152,0.07056161283686484,0.05492696975930878,0.2982925324007406,199576,0.1813816032508312
1001401,40.71492071111111,-73.98710765555556,0.008,125,0.7026856240126382,0.026856240126382307,0.09921011058451817,0.1434439178515008,89873,0.754247572815534
1001402,40.71821383295455,-73.9858288840909,0.09722222222222222,216,0.2681071211199026,0.07608034083992696,0.26171637248934876,0.3953134510042605,46615,0.09001731102135026
1001501,40.7089131,-74.00366838741259,0.044534412955465584,494,0.5245434529206061,0.07084574536977076,0.04261106074342702,0.28441911669472864,119293,0.5536467751657626
1001502,40.70846449849624,-74.00701967593984,0.03106332138590203,837,0.6266960454598167,0.01867099617302563,0.10182071204917083,0.20074220109010785,160466,0.10734325445230544
1001600,40.716120995512824,-73.99232249711538,0.1674641148325359,627,0.23898963730569947,0.018264248704663213,0.009585492227979275,0.5544041450777202,46860,0.25092250922509224
1001800,40.71909030868167,-73.99101068585209,0.17509727626459143,771,0.3075705238917674,0.05829015544041451,0.1521301093839954,0.471790443293034,74485,0.09951219512195122
1002000,40.71875188333333,-73.97205175,0.09803921568627451,51,0.018554062699936022,0.1780763489016848,0.6033269353806782,0.25357219023245897,26031,0.011875309252845126
1002100,40.71461076306818,-74.00911374261364,0.04225352112676056,781,0.634639175257732,0.06501718213058419,0.1081786941580756,0.21731958762886597,250001,0.39112519809825674
1002201,40.719930667961165,-73.9833188815534,0.13692946058091288,241,0.29149377593361,0.1935388263189093,0.36721991701244816,0.245257854179016,35700,0.10787557908669755
1002202,40.721361264948456,-73.9812290628866,0.08717948717948718,195,0.5362951209837367,0.085680285600952,0.289170963903213,0.2808409361364538,121389,0.125
1002400,40.72245860625,-73.968851075,0.08823529411764706,34,0.02667594525632104,0.19717003015541637,0.581767571329158,0.33866852238459755,17922,0.0
1002500,40.7091548,-73.99777915714286,0.06818181818181818,44,0.034289035257652076,0.30685780705153043,0.2760557923285548,0.2981402557148392,21949,0.0
1002601,40.72238444689655,-73.97977194827587,0.11320754716981132,265,0.21733449477351915,0.15461672473867596,0.43205574912891986,0.26502613240418116,35625,0.06551549009649568
1002602,40.724340397,-73.9787518725,0.13696369636963696,606,0.5743392070484582,0.053964757709251104,0.19933920704845814,0.3571035242290749,71907,0.24268689057421453
1002700,40.71266378,-73.998203862,0.08695652173913043,92,0.2053200332502078,0.0008312551953449709,0.00997506234413965,0.42061512884455526,134583,0.7272727272727273
1002800,40.726592853125,-73.9778710275,0.09183673469387756,490,0.2974544311753614,0.04714016341923319,0.35276555625392836,0.2836266499057197,52305,0.17193991690635985
1002901,40.714286200000004,-74.00143034117647,0.0,62,0.3360287511230907,0.2578616352201258,0.30997304582210244,0.23000898472596587,11406,0.0
1002902,40.71535876893204,-73.99843498980582,0.13238289205702647,491,0.09137709137709138,0.014414414414414415,0.016216216216216217,0.48906048906048905,-666666666,0.153470715835141
1003001,40.72090771880734,-73.98692199633027,0.1824175824175824,455,0.5542916235780765,0.09100310237849017,0.2466390899689762,0.1372802481902792,90222,0.0809608540925267
1003002,40.722804822093025,-73.98547998953488,0.13305613305613306,481,0.4846505551926845,0.04866100587851078,0.24853037230568256,0.2834748530372306,68382,0.06844547563805105
1003100,40.71726800120482,-74.0023521686747,0.07923497267759563,366,0.44881889763779526,0.11698537682789652,0.15898012748406448,0.23847019122609675,190769,0.2602739726027397
1003200,40.72555229862542,-73.9837863395189,0.1479944674965422,723,0.7328193539811245,0.027515618769108068,0.10487837298949887,0.14475608135052506,88070,0.20478260869565218
1003300,40.71854082452316,-74.0058310054496,0.07086614173228346,889,0.753931225159841,0.012268878520822533,0.07153965785381027,0.19923967513392085,250001,0.45412667946257196
1003400,40.728760576347305,-73.98146960299401,0.15633187772925763,1145,0.6268993530916203,0.03941627802015947,0.15901910636377314,0.1543553482774184,109148,0.13527214514407684
1003601,40.722155984210524,-73.99122878105263,0.07883817427385892,241,0.2943575798776343,0.046227056424201225,0.3745751189666893,0.3728755948334466,55714,0.15268225584594222
1003602,40.72459361015625,-73.98986765703125,0.11864406779661017,354,0.6174831328835435,0.11440305074801994,0.11234966265767087,0.19536520973892638,144464,0.1601908657123381
1003700,40.726300935714285,-74.00623550535714,0.08103448275862069,580,0.6754437869822485,0.011242603550295858,0.09467455621301775,0.1742603550295858,246250,0.3448087431693989
1003800,40.72734135265487,-73.9882198909292,0.18169398907103826,1464,0.5557994877424076,0.0937919258446152,0.1677033784607879,0.26027564337114284,68647,0.08861840700405722
1003900,40.72048354734513,-74.00988372522124,0.06506849315068493,584,0.5668348954578226,0.018889689978370584,0.13121845710165825,0.2716654650324441,190588,0.45084087968952136
1004001,40.73003114679487,-73.98492280641025,0.14780600461893764,433,0.6840197693574959,0.015156507413509062,0.15914332784184515,0.2757825370675453,122383,0.11791730474732007
1004002,40.73113996137931,-73.98724821586208,0.13389121338912133,239,0.5571122465798583,0.05834844239327509,0.12114718971485083,0.23388824789846713,153838,0.1485884101040119
